Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,22790627.0,22710998.0,111083.82,22493274.0,22928722.0,0.19,0.27,61.1,54.03,0.27,1
1,1,22790627.0,22762998.0,112252.88,22542982.0,22983014.0,0.23,0.33,64.24,52.83,0.33,1
2,1,22790627.0,22813998.0,112159.01,22594166.0,23033830.0,0.2,0.34,72.04,60.7,0.34,1
3,1,22790627.0,22669998.0,113475.11,22447586.0,22892410.0,0.18,0.28,70.51,59.29,0.28,1
4,1,22790627.0,22824998.0,122017.56,22585844.0,23064152.0,0.16,0.28,62.53,57.4,0.28,1
5,1,22790627.0,22893998.0,121161.21,22656522.0,23131474.0,0.18,0.28,74.16,63.44,0.28,1
6,1,22790627.0,22780998.0,119516.35,22546746.0,23015250.0,0.19,0.3,71.12,59.26,0.3,1
7,1,22790627.0,22628998.0,114970.0,22403656.0,22854340.0,0.2,0.3,70.6,64.11,0.3,1
8,1,22790627.0,22756998.0,104825.3,22551540.0,22962456.0,0.19,0.31,64.13,55.99,0.31,1
9,1,22790627.0,23152998.0,131700.41,22894866.0,23411130.0,0.17,0.27,66.68,56.75,0.27,0
0,2,27856078.0,27947998.0,115929.56,27720776.0,28175220.0,0.15,0.29,61.35,55.05,0.29,1
1,2,27856078.0,27885998.0,122338.96,27646214.0,28125782.0,0.24,0.3,58.69,52.07,0.3,1
2,2,27856078.0,27879998.0,128439.38,27628256.0,28131740.0,0.29,0.29,60.53,50.61,0.29,1
3,2,27856078.0,27796998.0,118067.99,27565584.0,28028412.0,0.21,0.39,67.71,56.27,0.39,1
4,2,27856078.0,27898998.0,119022.24,27665714.0,28132282.0,0.2,0.35,67.83,56.46,0.35,1
5,2,27856078.0,27564998.0,115129.04,27339346.0,27790650.0,0.28,0.34,65.2,53.83,0.34,0
6,2,27856078.0,27707998.0,118820.98,27475108.0,27940888.0,0.19,0.34,66.2,54.87,0.34,1
7,2,27856078.0,27925998.0,110103.73,27710194.0,28141802.0,0.04,0.28,62.35,50.96,0.28,1
8,2,27856078.0,27723998.0,116449.13,27495758.0,27952238.0,0.19,0.36,67.95,56.59,0.36,1
9,2,27856078.0,27681998.0,123694.78,27439556.0,27924440.0,0.28,0.28,64.8,53.39,0.28,1
0,3,19280625.0,19299000.0,114280.09,19075012.0,19522988.0,0.19,0.26,61.5,50.17,0.26,1
1,3,19280625.0,19094000.0,109116.62,18880132.0,19307868.0,0.16,0.32,62.7,51.33,0.32,1
2,3,19280625.0,19134000.0,110963.61,18916512.0,19351488.0,0.21,0.33,65.5,53.96,0.33,1
3,3,19280625.0,19259000.0,106362.28,19050530.0,19467470.0,0.2,0.35,66.17,54.79,0.35,1
4,3,19280625.0,19233000.0,111365.19,19014724.0,19451276.0,0.25,0.29,60.69,49.4,0.29,1
5,3,19280625.0,19561000.0,121064.45,19323714.0,19798286.0,0.16,0.27,65.86,54.53,0.27,0
6,3,19280625.0,19245000.0,109272.84,19030826.0,19459174.0,0.23,0.34,61.55,50.2,0.34,1
7,3,19280625.0,19212000.0,115896.39,18984844.0,19439156.0,0.22,0.32,64.84,53.46,0.32,1
8,3,19280625.0,19215000.0,117338.39,18985016.0,19444984.0,0.19,0.34,70.67,59.26,0.34,1
9,3,19280625.0,19067000.0,118222.71,18835284.0,19298716.0,0.19,0.3,59.69,48.36,0.3,1
0,4,21809885.0,21783998.0,116092.95,21556456.0,22011540.0,0.18,0.31,80.47,69.02,0.31,1
1,4,21809885.0,21724998.0,110017.25,21509364.0,21940632.0,0.2,0.36,76.43,65.0,0.36,1
2,4,21809885.0,21798998.0,119157.71,21565448.0,22032548.0,0.28,0.39,75.1,63.63,0.39,1
3,4,21809885.0,21805998.0,119835.44,21571120.0,22040876.0,0.21,0.35,87.85,76.44,0.35,1
4,4,21809885.0,21753998.0,128851.93,21501448.0,22006548.0,0.23,0.33,74.81,63.49,0.33,1
5,4,21809885.0,21823998.0,120234.2,21588338.0,22059658.0,0.22,0.36,74.85,63.53,0.36,1
6,4,21809885.0,21827998.0,129388.68,21574396.0,22081600.0,0.15,0.3,76.75,64.9,0.3,1
7,4,21809885.0,21974998.0,121522.29,21736814.0,22213182.0,0.26,0.36,76.77,65.36,0.36,1
