Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,227014.0,220800.0,5027.8,210945.52,230654.48,0.01,0.01,0.66,0.59,0.01,1
1,1,227014.0,231000.0,5153.31,220899.52,241100.48,0.02,0.02,0.65,0.57,0.02,1
2,1,227014.0,228600.0,5010.37,218779.67,238420.33,0.01,0.01,0.66,0.59,0.01,1
3,1,227014.0,235000.0,5455.38,224307.45,245692.55,0.01,0.02,0.65,0.57,0.02,1
4,1,227014.0,223000.0,5535.53,212150.38,233849.62,0.01,0.02,0.64,0.57,0.02,1
5,1,227014.0,232000.0,4954.95,222288.3,241711.7,0.02,0.03,0.66,0.57,0.03,1
6,1,227014.0,226800.0,5119.94,216764.92,236835.08,0.01,0.01,0.63,0.57,0.01,1
7,1,227014.0,222000.0,4898.8,212398.36,231601.64,0.02,0.02,0.66,0.6,0.02,1
8,1,227014.0,238000.0,6264.72,225721.16,250278.84,0.01,0.02,0.62,0.56,0.02,1
9,1,227014.0,227000.0,5423.16,216370.59,237629.41,0.0,0.01,0.63,0.57,0.01,1
0,2,278356.0,279000.0,4975.27,269248.47,288751.53,0.02,0.02,0.62,0.54,0.02,1
1,2,278356.0,285000.0,5116.45,274971.75,295028.25,0.03,0.03,0.61,0.52,0.03,1
2,2,278356.0,275800.0,5550.71,264920.59,286679.41,0.02,0.02,0.59,0.53,0.02,1
3,2,278356.0,276200.0,5283.88,265843.59,286556.41,0.02,0.02,0.59,0.53,0.02,1
4,2,278356.0,281800.0,5392.44,271230.81,292369.19,0.02,0.02,0.57,0.5,0.02,1
5,2,278356.0,273000.0,5226.63,262755.81,283244.19,0.01,0.01,0.61,0.54,0.01,1
6,2,278356.0,275200.0,5542.09,264337.5,286062.5,0.02,0.02,0.58,0.51,0.02,1
7,2,278356.0,275000.0,5699.91,263828.19,286171.81,0.02,0.02,0.57,0.5,0.02,1
8,2,278356.0,281000.0,5385.49,270444.44,291555.56,0.0,0.01,0.58,0.52,0.01,1
9,2,278356.0,271800.0,4844.0,262305.75,281294.25,0.02,0.02,0.58,0.51,0.02,1
0,3,192924.0,194800.0,4998.31,185003.31,204596.69,0.01,0.01,0.61,0.55,0.01,1
1,3,192924.0,180600.0,5010.71,170779.02,190420.98,0.02,0.02,0.61,0.53,0.02,0
2,3,192924.0,186800.0,5028.25,176944.64,196655.36,0.01,0.02,0.57,0.51,0.02,1
3,3,192924.0,192200.0,5251.65,181906.77,202493.23,0.01,0.01,0.58,0.52,0.01,1
4,3,192924.0,191800.0,5350.23,181313.55,202286.45,0.0,0.01,0.61,0.55,0.01,1
5,3,192924.0,194200.0,5234.67,183940.05,204459.95,0.02,0.02,0.61,0.53,0.02,1
6,3,192924.0,191200.0,5045.67,181310.48,201089.52,0.02,0.02,0.63,0.56,0.02,1
7,3,192924.0,195200.0,5374.43,184666.12,205733.88,0.01,0.01,0.58,0.52,0.01,1
8,3,192924.0,184400.0,5095.63,174412.56,194387.44,0.01,0.01,0.58,0.53,0.01,1
9,3,192924.0,209000.0,5525.49,198170.05,219829.95,0.01,0.01,0.6,0.53,0.01,0
0,4,218426.0,216000.0,5869.52,204495.73,227504.27,0.0,0.01,0.76,0.69,0.01,1
1,4,218426.0,218200.0,5515.22,207390.16,229009.84,0.01,0.02,0.78,0.71,0.02,1
2,4,218426.0,226200.0,5582.59,215258.12,237141.88,0.01,0.01,0.75,0.68,0.01,1
3,4,218426.0,221800.0,5469.25,211080.27,232519.73,0.01,0.02,0.78,0.7,0.02,1
4,4,218426.0,222000.0,5274.28,211662.41,232337.59,0.0,0.01,0.76,0.69,0.01,1
5,4,218426.0,212800.0,5381.36,202252.53,223347.47,0.0,0.01,0.75,0.68,0.01,1
6,4,218426.0,215400.0,5675.67,204275.67,226524.33,0.01,0.02,0.75,0.67,0.02,1
7,4,218426.0,222400.0,5126.18,212352.67,232447.33,0.01,0.01,0.75,0.68,0.01,1
8,4,218426.0,210000.0,5154.77,199896.66,220103.34,0.01,0.02,0.77,0.7,0.02,1
9,4,218426.0,223200.0,5273.08,212864.77,233535.23,0.01,0.01,0.77,0.7,0.01,1
0,5,429156.0,434200.0,4938.76,424520.03,443879.97,0.0,0.02,0.81,0.73,0.02,1
1,5,429156.0,425400.0,4957.26,415683.78,435116.22,0.02,0.03,0.81,0.72,0.03,1
2,5,429156.0,429600.0,5125.26,419554.5,439645.5,0.01,0.01,0.81,0.75,0.01,1
3,5,429156.0,431600.0,5049.2,421703.56,441496.44,0.01,0.01,0.76,0.71,0.01,1
4,5,429156.0,429200.0,5073.5,419255.94,439144.06,0.01,0.01,0.79,0.74,0.01,1
5,5,429156.0,425200.0,5002.01,415396.06,435003.94,0.01,0.01,0.76,0.7,0.01,1
6,5,429156.0,433200.0,4504.58,424371.03,442028.97,0.01,0.01,0.81,0.74,0.01,1
7,5,429156.0,424400.0,4936.56,414724.34,434075.66,0.01,0.02,0.83,0.75,0.02,1
8,5,429156.0,428000.0,5113.82,417976.94,438023.06,0.0,0.01,0.82,0.75,0.01,1
9,5,429156.0,421800.0,4796.68,412398.5,431201.5,0.02,0.02,0.78,0.72,0.02,1
0,6,163131.0,156400.0,4654.31,147277.55,165522.45,0.02,0.02,0.7,0.63,0.02,1
1,6,163131.0,159800.0,4791.52,150408.61,169191.39,0.02,0.02,0.71,0.63,0.02,1
2,6,163131.0,167800.0,5154.49,157697.2,177902.8,0.0,0.01,0.7,0.63,0.01,1
3,6,163131.0,160200.0,4886.59,150622.28,169777.72,0.01,0.01,0.67,0.62,0.01,1
4,6,163131.0,165600.0,4870.39,156054.05,175145.95,0.01,0.01,0.67,0.62,0.01,1
5,6,163131.0,164800.0,4531.58,155918.11,173681.89,0.01,0.01,0.7,0.63,0.01,1
6,6,163131.0,167400.0,4880.43,157834.36,176965.64,0.01,0.01,0.72,0.65,0.01,1
7,6,163131.0,160800.0,4860.03,151274.34,170325.66,0.01,0.01,0.71,0.65,0.01,1
8,6,163131.0,159400.0,4772.11,150046.66,168753.34,0.01,0.01,0.8,0.74,0.01,1
9,6,163131.0,162000.0,4948.54,152300.88,171699.12,0.01,0.01,0.68,0.62,0.01,1
0,7,107671.0,103000.0,4213.92,94740.72,111259.28,0.0,0.01,0.64,0.57,0.01,1
1,7,107671.0,105000.0,4164.79,96837.01,113162.99,0.01,0.01,0.67,0.6,0.01,1
2,7,107671.0,103200.0,4520.41,94339.98,112060.02,0.01,0.01,0.65,0.58,0.01,1
3,7,107671.0,104800.0,3975.58,97007.87,112592.13,0.01,0.01,0.65,0.58,0.01,1
4,7,107671.0,92800.0,4038.34,84884.86,100715.14,0.01,0.01,0.68,0.61,0.01,0
5,7,107671.0,108800.0,4189.05,100589.46,117010.54,0.01,0.02,0.64,0.56,0.02,1
6,7,107671.0,104400.0,4046.68,96468.5,112331.5,0.02,0.02,0.66,0.58,0.02,1
7,7,107671.0,105000.0,4306.99,96558.3,113441.7,0.01,0.01,0.71,0.65,0.01,1
8,7,107671.0,100800.0,4028.41,92904.31,108695.69,0.02,0.02,0.66,0.59,0.02,1
9,7,107671.0,102400.0,4167.02,94232.64,110567.36,0.01,0.01,0.65,0.59,0.01,1
0,8,109024.0,101800.0,4431.02,93115.19,110484.81,0.02,0.02,0.73,0.65,0.02,1
1,8,109024.0,114600.0,4189.79,106388.01,122811.99,0.01,0.01,0.75,0.68,0.01,1
2,8,109024.0,100200.0,4036.39,92288.68,108111.32,0.0,0.01,0.74,0.67,0.01,0
3,8,109024.0,114400.0,4284.22,106002.93,122797.07,0.01,0.02,0.76,0.68,0.02,1
4,8,109024.0,109800.0,4289.12,101393.32,118206.68,0.02,0.02,0.75,0.67,0.02,1
5,8,109024.0,98400.0,3600.13,91343.76,105456.24,0.01,0.01,0.75,0.68,0.01,0
6,8,109024.0,105400.0,4069.63,97423.53,113376.47,0.01,0.01,0.73,0.66,0.01,1
7,8,109024.0,103800.0,4382.92,95209.48,112390.52,0.03,0.03,0.74,0.65,0.03,1
8,8,109024.0,108200.0,4054.58,100253.02,116146.98,0.01,0.01,0.74,0.67,0.01,1
9,8,109024.0,101600.0,4114.39,93535.8,109664.2,0.01,0.01,0.75,0.68,0.01,1
0,9,126798.0,127400.0,4540.34,118500.94,136299.06,0.01,0.01,0.74,0.67,0.01,1
1,9,126798.0,133400.0,4603.84,124376.48,142423.52,0.01,0.01,0.74,0.67,0.01,1
2,9,126798.0,120000.0,4292.29,111587.12,128412.88,0.01,0.01,0.78,0.72,0.01,1
3,9,126798.0,122600.0,4529.08,113723.01,131476.98,0.02,0.02,0.72,0.64,0.02,1
4,9,126798.0,129400.0,4483.05,120613.23,138186.78,0.02,0.02,0.74,0.66,0.02,1
5,9,126798.0,128800.0,4382.79,120209.73,137390.27,0.01,0.01,0.71,0.64,0.01,1
6,9,126798.0,130000.0,4564.25,121054.07,138945.92,0.01,0.01,0.71,0.64,0.01,1
7,9,126798.0,124000.0,4213.61,115741.31,132258.69,0.01,0.01,0.72,0.65,0.01,1
8,9,126798.0,123000.0,4556.13,114069.98,131930.02,0.02,0.02,0.72,0.64,0.02,1
9,9,126798.0,131400.0,4583.52,122416.31,140383.69,0.02,0.02,0.72,0.64,0.02,1
0,10,149859.0,147400.0,4738.56,138112.44,156687.56,0.01,0.01,0.6,0.53,0.01,1
1,10,149859.0,148200.0,4786.43,138818.61,157581.39,0.01,0.01,0.62,0.55,0.01,1
2,10,149859.0,146800.0,5007.13,136986.02,156613.98,0.01,0.01,0.62,0.55,0.01,1
3,10,149859.0,149800.0,4441.76,141094.16,158505.84,0.01,0.01,0.62,0.55,0.01,1
4,10,149859.0,151000.0,4587.39,142008.7,159991.3,0.01,0.01,0.63,0.56,0.01,1
5,10,149859.0,151600.0,4825.85,142141.34,161058.66,0.01,0.01,0.6,0.53,0.01,1
6,10,149859.0,147600.0,4908.04,137980.23,157219.77,0.01,0.01,0.6,0.53,0.01,1
7,10,149859.0,149000.0,4377.08,140420.92,157579.08,0.01,0.01,0.62,0.55,0.01,1
8,10,149859.0,148800.0,4555.3,139871.62,157728.38,0.01,0.01,0.62,0.55,0.01,1
9,10,149859.0,147600.0,4506.15,138767.94,156432.06,0.0,0.01,0.61,0.54,0.01,1
