Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,227014.0,226500.0,4247.86,218174.19,234825.81,0.01,0.02,0.66,0.58,0.02,1
1,1,227014.0,227600.0,3481.71,220775.84,234424.16,0.02,0.03,0.66,0.57,0.03,1
2,1,227014.0,230500.0,3999.33,222661.31,238338.69,0.01,0.02,0.64,0.58,0.02,1
3,1,227014.0,226400.0,3319.04,219894.69,232905.31,0.03,0.03,0.64,0.56,0.03,1
4,1,227014.0,228900.0,3916.73,221223.2,236576.8,0.03,0.03,0.65,0.58,0.03,1
5,1,227014.0,229000.0,3919.68,221317.44,236682.56,0.03,0.03,0.66,0.57,0.03,1
6,1,227014.0,225200.0,3741.18,217867.28,232532.72,0.02,0.04,0.64,0.55,0.04,1
7,1,227014.0,227800.0,3789.43,220372.72,235227.28,0.01,0.03,0.67,0.58,0.03,1
8,1,227014.0,231800.0,3650.25,224645.5,238954.5,0.02,0.03,0.68,0.6,0.03,1
9,1,227014.0,226300.0,3746.59,218956.69,233643.31,0.04,0.04,0.67,0.57,0.04,1
0,2,278356.0,277300.0,3982.97,269493.38,285106.62,0.03,0.03,0.6,0.51,0.03,1
1,2,278356.0,274800.0,3985.19,266989.03,282610.97,0.03,0.03,0.65,0.56,0.03,1
2,2,278356.0,280000.0,3981.95,272195.38,287804.62,0.02,0.02,0.6,0.52,0.02,1
3,2,278356.0,278700.0,3703.92,271440.31,285959.69,0.03,0.03,0.62,0.53,0.03,1
4,2,278356.0,276100.0,3709.13,268830.12,283369.88,0.02,0.03,0.64,0.55,0.03,1
5,2,278356.0,285300.0,3998.51,277462.91,293137.09,0.01,0.03,0.62,0.54,0.03,1
6,2,278356.0,278200.0,3912.95,270530.59,285869.41,0.02,0.03,0.62,0.54,0.03,1
7,2,278356.0,284900.0,3847.32,277359.25,292440.75,0.02,0.03,0.62,0.53,0.03,1
8,2,278356.0,285000.0,4230.51,276708.19,293291.81,0.03,0.03,0.62,0.53,0.03,1
9,2,278356.0,277400.0,3719.35,270110.06,284689.94,0.01,0.03,0.62,0.54,0.03,1
0,3,192924.0,195200.0,3777.75,187795.61,202604.39,0.03,0.03,0.66,0.57,0.03,1
1,3,192924.0,195700.0,3255.19,189319.83,202080.17,0.02,0.03,0.62,0.53,0.03,1
2,3,192924.0,192700.0,3283.32,186264.69,199135.31,0.01,0.03,0.65,0.56,0.03,1
3,3,192924.0,193000.0,3835.75,185481.94,200518.06,0.02,0.03,0.63,0.55,0.03,1
4,3,192924.0,191700.0,3479.92,184879.36,198520.64,0.01,0.02,0.64,0.56,0.02,1
5,3,192924.0,189200.0,3752.6,181844.91,196555.09,0.02,0.03,0.62,0.53,0.03,1
6,3,192924.0,196600.0,3510.27,189719.88,203480.12,0.03,0.03,0.59,0.51,0.03,1
7,3,192924.0,188900.0,3687.06,181673.36,196126.64,0.02,0.02,0.62,0.55,0.02,1
8,3,192924.0,193200.0,3422.08,186492.72,199907.28,0.02,0.02,0.59,0.53,0.02,1
9,3,192924.0,185600.0,3486.27,178766.92,192433.08,0.02,0.03,0.62,0.53,0.03,0
0,4,218426.0,220200.0,3613.98,213116.61,227283.39,0.02,0.02,0.77,0.69,0.02,1
1,4,218426.0,222000.0,3505.45,215129.31,228870.69,0.03,0.03,0.77,0.67,0.03,1
2,4,218426.0,212100.0,3797.87,204656.17,219543.83,0.01,0.03,0.77,0.69,0.03,1
3,4,218426.0,217600.0,3851.67,210050.72,225149.28,0.01,0.03,0.8,0.71,0.03,1
4,4,218426.0,216900.0,3782.08,209487.12,224312.88,0.01,0.03,0.78,0.69,0.03,1
