Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,2280109.0,2283100.0,12812.28,2257988.0,2308212.0,0.18,0.27,5.56,4.94,0.27,1
1,1,2280109.0,2280300.0,12046.4,2256689.0,2303911.0,0.19,0.28,5.75,5.2,0.28,1
2,1,2280109.0,2283400.0,11586.42,2260690.5,2306109.5,0.18,0.27,5.48,4.93,0.27,1
3,1,2280109.0,2294500.0,11168.97,2272608.75,2316391.25,0.17,0.28,5.63,5.07,0.28,1
4,1,2280109.0,2286500.0,11797.58,2263376.75,2309623.25,0.17,0.28,5.56,5.01,0.28,1
5,1,2280109.0,2270100.0,12322.55,2245947.75,2294252.25,0.17,0.28,5.45,4.89,0.28,1
6,1,2280109.0,2283900.0,11338.24,2261677.0,2306123.0,0.15,0.27,5.65,5.1,0.27,1
7,1,2280109.0,2273200.0,12034.88,2249611.75,2296788.25,0.16,0.27,5.45,4.91,0.27,1
8,1,2280109.0,2265600.0,12091.17,2241901.25,2289298.75,0.16,0.27,5.45,4.91,0.27,1
9,1,2280109.0,2266900.0,11932.34,2243512.5,2290287.5,0.19,0.28,5.61,5.06,0.28,1
0,2,2785246.0,2767100.0,13020.1,2741580.5,2792619.5,0.14,0.29,5.27,4.71,0.29,1
1,2,2785246.0,2805900.0,12546.2,2781309.5,2830490.5,0.1,0.28,5.05,4.49,0.28,1
2,2,2785246.0,2772800.0,11227.63,2750793.75,2794806.25,0.01,0.28,5.27,4.7,0.28,1
3,2,2785246.0,2795700.0,12687.52,2770832.5,2820567.5,0.19,0.29,5.03,4.47,0.29,1
4,2,2785246.0,2795200.0,13400.61,2768934.75,2821465.25,0.08,0.29,5.38,4.82,0.29,1
5,2,2785246.0,2798800.0,11266.22,2776718.25,2820881.75,0.28,0.29,5.17,4.61,0.29,1
6,2,2785246.0,2787400.0,12862.93,2762188.75,2812611.25,0.29,0.29,5.28,4.7,0.29,1
7,2,2785246.0,2786000.0,11821.18,2762830.5,2809169.5,0.22,0.29,5.16,4.59,0.29,1
8,2,2785246.0,2764700.0,13142.18,2738941.25,2790458.75,0.14,0.29,5.26,4.69,0.29,1
9,2,2785246.0,2779200.0,12245.12,2755199.5,2803200.5,0.29,0.29,5.05,4.49,0.29,1
0,3,1928020.0,1931400.0,10836.43,1910160.62,1952639.38,0.19,0.27,5.45,4.81,0.27,1
1,3,1928020.0,1931000.0,12914.36,1905687.88,1956312.12,0.17,0.27,5.21,4.57,0.27,1
2,3,1928020.0,1916400.0,11142.5,1894560.75,1938239.25,0.18,0.27,5.16,4.62,0.27,1
3,3,1928020.0,1935600.0,11618.51,1912827.75,1958372.25,0.19,0.27,5.27,4.73,0.27,1
4,3,1928020.0,1938100.0,11146.94,1916252.0,1959948.0,0.18,0.27,5.28,4.74,0.27,1
5,3,1928020.0,1944200.0,11254.52,1922141.12,1966258.88,0.16,0.26,5.27,4.73,0.26,1
6,3,1928020.0,1945200.0,11284.18,1923083.0,1967317.0,0.16,0.26,5.06,4.52,0.26,1
7,3,1928020.0,1944600.0,11474.04,1922110.88,1967089.12,0.15,0.26,5.15,4.61,0.26,1
8,3,1928020.0,1961000.0,11188.62,1939070.25,1982929.75,0.16,0.26,5.06,4.53,0.26,0
9,3,1928020.0,1937700.0,11178.92,1915789.25,1959610.75,0.21,0.27,5.09,4.55,0.27,1
0,4,2180873.0,2175500.0,12741.63,2150526.5,2200473.5,0.18,0.27,6.65,6.01,0.27,1
1,4,2180873.0,2173900.0,13097.83,2148228.25,2199571.75,0.17,0.28,6.66,6.02,0.28,1
2,4,2180873.0,2172800.0,11736.66,2149796.25,2195803.75,0.16,0.27,6.62,6.08,0.27,1
3,4,2180873.0,2183200.0,12161.38,2159363.75,2207036.25,0.18,0.28,6.51,5.95,0.28,1
4,4,2180873.0,2172100.0,11086.0,2150371.5,2193828.5,0.2,0.27,6.44,5.9,0.27,1
5,4,2180873.0,2187500.0,11768.56,2164433.75,2210566.25,0.21,0.28,6.44,5.88,0.28,1
6,4,2180873.0,2173500.0,11951.5,2150075.0,2196925.0,0.17,0.27,6.45,5.91,0.27,1
7,4,2180873.0,2177000.0,12715.43,2152077.75,2201922.25,0.18,0.27,6.5,5.96,0.27,1
8,4,2180873.0,2193000.0,11818.09,2169836.5,2216163.5,0.2,0.27,6.4,5.85,0.27,1
9,4,2180873.0,2178800.0,12750.45,2153809.0,2203791.0,0.19,0.29,6.51,5.95,0.29,1
0,5,4388299.0,4399800.0,11065.24,4378112.0,4421488.0,0.17,0.26,6.83,6.3,0.26,1
1,5,4388299.0,4392800.0,11455.23,4370348.0,4415252.0,0.16,0.26,6.84,6.31,0.26,1
2,5,4388299.0,4390400.0,10486.27,4369847.0,4410953.0,0.2,0.27,6.83,6.28,0.27,1
3,5,4388299.0,4377900.0,10125.95,4358053.0,4397747.0,0.17,0.26,7.03,6.49,0.26,1
4,5,4388299.0,4404100.0,10960.88,4382616.5,4425583.5,0.17,0.26,7.07,6.53,0.26,1
5,5,4388299.0,4397900.0,11373.42,4375608.0,4420192.0,0.17,0.27,6.87,6.33,0.27,1
6,5,4388299.0,4397600.0,10094.91,4377814.0,4417386.0,0.17,0.26,6.98,6.44,0.26,1
7,5,4388299.0,4397800.0,10931.96,4376373.5,4419226.5,0.18,0.26,6.87,6.33,0.26,1
8,5,4388299.0,4407700.0,10764.91,4386601.0,4428799.0,0.17,0.26,6.94,6.39,0.26,1
9,5,4388299.0,4372000.0,11235.5,4349978.5,4394021.5,0.17,0.26,6.99,6.45,0.26,1
0,6,1637487.0,1639000.0,11651.69,1616162.62,1661837.38,0.17,0.25,6.02,5.48,0.25,1
1,6,1637487.0,1653900.0,10710.97,1632906.5,1674893.5,0.18,0.25,6.23,5.61,0.25,1
2,6,1637487.0,1609900.0,10374.9,1589565.25,1630234.75,0.17,0.25,6.1,5.58,0.25,0
3,6,1637487.0,1656500.0,10508.62,1635903.12,1677096.88,0.16,0.25,6.18,5.66,0.25,1
4,6,1637487.0,1652100.0,11344.11,1629865.5,1674334.5,0.18,0.26,6.08,5.55,0.26,1
5,6,1637487.0,1635000.0,11489.26,1612481.0,1657519.0,0.17,0.25,5.96,5.44,0.25,1
6,6,1637487.0,1628700.0,11068.52,1607005.75,1650394.25,0.18,0.26,6.08,5.55,0.26,1
7,6,1637487.0,1643900.0,11426.19,1621504.62,1666295.38,0.18,0.25,6.21,5.68,0.25,1
8,6,1637487.0,1637200.0,11505.12,1614650.0,1659750.0,0.15,0.25,6.19,5.66,0.25,1
9,6,1637487.0,1625800.0,11690.79,1602886.0,1648714.0,0.18,0.26,6.09,5.55,0.26,1
