Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,227014.0,234999.0,11452.37,212552.36,257445.64,0.01,0.01,0.67,0.63,0.01,1
1,1,227014.0,214999.0,11792.06,191886.56,238111.44,0.02,0.02,0.66,0.61,0.02,1
2,1,227014.0,241999.0,12203.36,218080.42,265917.56,0.01,0.01,0.6,0.57,0.01,1
3,1,227014.0,216999.0,11697.65,194071.61,239926.39,0.01,0.01,0.66,0.62,0.01,1
4,1,227014.0,205999.0,11510.87,183437.7,228560.3,0.01,0.01,0.65,0.62,0.01,1
5,1,227014.0,226999.0,11599.33,204264.31,249733.69,0.01,0.01,0.67,0.62,0.01,1
6,1,227014.0,222999.0,11690.18,200086.23,245911.77,0.01,0.01,0.69,0.62,0.01,1
7,1,227014.0,220999.0,11724.44,198019.11,243978.89,0.01,0.01,0.65,0.61,0.01,1
8,1,227014.0,243999.0,11610.36,221242.7,266755.31,0.01,0.01,0.64,0.61,0.01,1
9,1,227014.0,235999.0,11911.62,212652.22,259345.78,0.0,0.01,0.66,0.63,0.01,1
0,2,278356.0,280000.0,11645.66,257174.5,302825.5,0.01,0.01,0.59,0.56,0.01,1
1,2,278356.0,270000.0,11482.25,247494.8,292505.19,0.02,0.02,0.63,0.59,0.02,1
2,2,278356.0,284000.0,13181.06,258165.12,309834.88,0.01,0.01,0.59,0.56,0.01,1
3,2,278356.0,305000.0,11617.96,282228.81,327771.19,0.01,0.01,0.49,0.46,0.01,0
4,2,278356.0,272000.0,12868.55,246777.64,297222.38,0.01,0.01,0.59,0.56,0.01,1
5,2,278356.0,283000.0,11161.37,261123.7,304876.28,0.02,0.02,0.6,0.56,0.02,1
6,2,278356.0,289000.0,12539.65,264422.28,313577.72,0.01,0.01,0.63,0.59,0.01,1
7,2,278356.0,287000.0,11445.54,264566.72,309433.28,0.01,0.01,0.6,0.57,0.01,1
8,2,278356.0,278000.0,10782.48,256866.33,299133.66,0.01,0.01,0.57,0.53,0.01,1
9,2,278356.0,279000.0,12417.18,254662.33,303337.69,0.01,0.01,0.59,0.56,0.01,1
0,3,192924.0,199999.0,11171.22,178103.42,221894.58,0.01,0.01,0.65,0.58,0.01,1
1,3,192924.0,198999.0,10985.6,177467.22,220530.78,0.01,0.01,0.64,0.58,0.01,1
2,3,192924.0,213999.0,11122.45,192199.0,235799.0,0.01,0.01,0.6,0.57,0.01,1
3,3,192924.0,193999.0,10600.72,173221.59,214776.41,0.01,0.01,0.57,0.54,0.01,1
4,3,192924.0,194999.0,10437.73,174541.05,215456.95,0.02,0.02,0.6,0.55,0.02,1
5,3,192924.0,183999.0,11040.69,162359.23,205638.77,0.01,0.01,0.67,0.63,0.01,1
6,3,192924.0,214999.0,12281.7,190926.88,239071.12,0.01,0.01,0.62,0.58,0.01,1
7,3,192924.0,203999.0,11016.62,182406.42,225591.58,0.01,0.01,0.6,0.57,0.01,1
8,3,192924.0,202999.0,12073.47,179334.98,226663.02,0.01,0.01,0.58,0.54,0.01,1
9,3,192924.0,177999.0,11236.76,155974.95,200023.05,0.01,0.01,0.6,0.57,0.01,1
0,4,218426.0,220999.0,11265.45,198918.72,243079.28,0.01,0.01,0.78,0.71,0.01,1
1,4,218426.0,217999.0,12009.23,194460.92,241537.08,0.01,0.01,0.78,0.71,0.01,1
2,4,218426.0,215999.0,12392.48,191709.73,240288.27,0.02,0.02,0.75,0.7,0.02,1
3,4,218426.0,217999.0,11022.42,196395.05,239602.95,0.01,0.01,0.78,0.72,0.01,1
4,4,218426.0,226999.0,13060.33,201400.77,252597.23,0.01,0.01,0.75,0.72,0.01,1
5,4,218426.0,231999.0,11561.05,209339.33,254658.67,0.01,0.01,0.76,0.72,0.01,1
6,4,218426.0,224999.0,11611.55,202240.38,247757.62,0.02,0.02,0.75,0.71,0.02,1
7,4,218426.0,223999.0,12699.37,199108.23,248889.77,0.01,0.01,0.74,0.71,0.01,1
8,4,218426.0,235999.0,12161.21,212163.02,259834.98,0.0,0.01,0.74,0.71,0.01,1
9,4,218426.0,226999.0,11807.4,203856.5,250141.5,0.01,0.01,0.76,0.72,0.01,1
0,5,429156.0,439999.0,10008.46,420382.41,459615.59,0.01,0.01,0.82,0.75,0.01,1
1,5,429156.0,420999.0,11611.33,398240.78,443757.22,0.01,0.01,0.84,0.78,0.01,1
2,5,429156.0,433999.0,11430.8,411594.62,456403.38,0.02,0.02,0.81,0.77,0.02,1
3,5,429156.0,419999.0,11736.8,396994.88,443003.12,0.01,0.01,0.78,0.75,0.01,1
4,5,429156.0,426999.0,11481.13,404495.97,449502.03,0.01,0.01,0.8,0.76,0.01,1
5,5,429156.0,431999.0,11991.19,408496.28,455501.72,0.01,0.01,0.79,0.75,0.01,1
6,5,429156.0,441999.0,11374.7,419704.59,464293.41,0.0,0.01,0.8,0.76,0.01,1
7,5,429156.0,434999.0,10797.26,413836.38,456161.62,0.01,0.01,0.82,0.79,0.01,1
8,5,429156.0,440999.0,11194.11,419058.53,462939.47,0.01,0.01,0.8,0.77,0.01,1
9,5,429156.0,424999.0,10639.72,404145.16,445852.84,0.01,0.01,0.82,0.79,0.01,1
0,6,163131.0,160000.0,10606.32,139211.61,180788.39,0.01,0.01,0.75,0.69,0.01,1
1,6,163131.0,141000.0,10721.5,119985.87,162014.12,0.01,0.01,0.74,0.67,0.01,0
2,6,163131.0,158000.0,10462.96,137492.61,178507.39,0.01,0.01,0.73,0.7,0.01,1
3,6,163131.0,164000.0,11169.11,142108.55,185891.45,0.01,0.01,0.72,0.68,0.01,1
4,6,163131.0,164000.0,11625.53,141213.97,186786.03,0.01,0.01,0.69,0.66,0.01,1
5,6,163131.0,173999.0,11900.26,150674.5,197323.5,0.0,0.02,0.69,0.65,0.02,1
6,6,163131.0,165999.0,9574.62,147232.73,184765.27,0.01,0.01,0.61,0.57,0.01,1
7,6,163131.0,154000.0,10263.01,133884.5,174115.5,0.01,0.01,0.67,0.63,0.01,1
8,6,163131.0,155000.0,10509.68,134401.02,175598.98,0.02,0.02,0.75,0.68,0.02,1
9,6,163131.0,175999.0,10215.98,155975.67,196022.33,0.01,0.01,0.71,0.64,0.01,1
0,7,107671.0,114999.0,10444.44,94527.9,135470.11,0.01,0.01,0.69,0.63,0.01,1
1,7,107671.0,112999.0,10228.14,92951.84,133046.16,0.01,0.01,0.69,0.62,0.01,1
2,7,107671.0,97999.0,8876.8,80600.46,115397.54,0.01,0.01,0.67,0.63,0.01,1
3,7,107671.0,113999.0,9558.54,95264.27,132733.73,0.01,0.01,0.65,0.62,0.01,1
4,7,107671.0,124999.0,10130.58,105143.06,144854.94,0.02,0.02,0.67,0.6,0.02,1
5,7,107671.0,98999.0,8875.99,81602.06,116395.94,0.01,0.01,0.7,0.63,0.01,1
6,7,107671.0,100999.0,9146.26,83072.33,118925.67,0.01,0.01,0.67,0.63,0.01,1
7,7,107671.0,105999.0,9720.21,86947.4,125050.6,0.02,0.02,0.66,0.61,0.02,1
8,7,107671.0,99999.0,8771.14,82807.56,117190.44,0.02,0.02,0.66,0.61,0.02,1
9,7,107671.0,102999.0,8930.4,85495.41,120502.59,0.01,0.01,0.66,0.62,0.01,1
0,8,109024.0,108999.0,8954.05,91449.05,126548.95,0.01,0.01,0.77,0.71,0.01,1
1,8,109024.0,102999.0,9206.13,84954.98,121043.02,0.01,0.01,0.76,0.7,0.01,1
2,8,109024.0,97999.0,9787.81,78814.9,117183.1,0.01,0.01,0.69,0.65,0.01,1
3,8,109024.0,115999.0,10094.31,96214.16,135783.84,0.01,0.01,0.75,0.68,0.01,1
