Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,22790627.0,22695998.0,108080.29,22484160.0,22907836.0,1.6,1.68,74.36,61.65,1.68,1
1,1,22790627.0,22572998.0,111600.17,22354262.0,22791734.0,1.63,1.73,75.31,62.45,1.73,1
2,1,22790627.0,22680998.0,119653.93,22446476.0,22915520.0,1.54,1.61,73.31,60.75,1.61,1
3,1,22790627.0,22594998.0,117996.09,22363726.0,22826270.0,1.6,1.7,67.24,60.46,1.7,1
4,1,22790627.0,22520998.0,122104.37,22281674.0,22760322.0,1.6,1.66,66.73,58.76,1.66,0
5,1,22790627.0,22788998.0,118377.45,22556978.0,23021018.0,1.58,1.62,75.82,63.76,1.62,1
6,1,22790627.0,22773998.0,116070.05,22546500.0,23001496.0,1.58,1.65,64.3,56.65,1.65,1
7,1,22790627.0,22835998.0,114676.49,22611232.0,23060764.0,1.53,1.59,65.68,55.42,1.59,1
8,1,22790627.0,22870998.0,119636.51,22636510.0,23105486.0,1.55,1.62,65.06,54.27,1.62,1
9,1,22790627.0,22821998.0,119161.43,22588442.0,23055554.0,1.67,1.73,68.1,61.16,1.73,1
0,2,27856078.0,27919998.0,117442.43,27689810.0,28150186.0,1.63,1.72,63.72,54.8,1.72,1
1,2,27856078.0,27956998.0,121502.48,27718854.0,28195142.0,1.63,1.7,62.03,51.22,1.7,1
2,2,27856078.0,27627998.0,128620.41,27375902.0,27880094.0,1.61,1.68,62.3,52.15,1.68,1
3,2,27856078.0,27962998.0,109395.66,27748582.0,28177414.0,1.62,1.72,62.42,52.08,1.72,1
4,2,27856078.0,27628998.0,119439.59,27394896.0,27863100.0,1.65,1.71,61.56,49.76,1.71,1
5,2,27856078.0,27935998.0,130298.5,27680612.0,28191384.0,1.5,1.58,64.09,54.27,1.58,1
6,2,27856078.0,28108998.0,119351.93,27875068.0,28342928.0,1.59,1.68,66.01,59.48,1.68,0
7,2,27856078.0,27981998.0,120759.2,27745310.0,28218686.0,1.55,1.62,64.03,51.41,1.62,1
8,2,27856078.0,27739998.0,128420.3,27488294.0,27991702.0,1.49,1.57,66.11,53.42,1.57,1
9,2,27856078.0,27525998.0,109387.88,27311598.0,27740398.0,1.54,1.62,62.95,50.25,1.62,0
0,3,19280625.0,19328000.0,127327.75,19078438.0,19577562.0,1.51,1.57,61.87,49.2,1.57,1
1,3,19280625.0,19242000.0,119335.78,19008102.0,19475898.0,1.6,1.68,65.15,52.34,1.68,1
2,3,19280625.0,19271000.0,117732.65,19040244.0,19501756.0,1.56,1.61,64.66,52.07,1.61,1
3,3,19280625.0,19181000.0,117552.81,18950596.0,19411404.0,1.53,1.58,66.22,53.61,1.58,1
4,3,19280625.0,19693000.0,105608.12,19486008.0,19899992.0,1.55,1.62,65.88,53.24,1.62,0
5,3,19280625.0,19335000.0,118384.69,19102966.0,19567034.0,1.58,1.63,65.85,53.14,1.63,1
6,3,19280625.0,19331000.0,108329.02,19118676.0,19543324.0,1.56,1.65,65.67,52.96,1.65,1
7,3,19280625.0,19323000.0,113523.84,19100494.0,19545506.0,1.54,1.6,67.22,54.61,1.6,1
8,3,19280625.0,19502000.0,113130.6,19280264.0,19723736.0,1.62,1.68,66.35,53.7,1.69,1
9,3,19280625.0,19207000.0,116899.2,18977878.0,19436122.0,1.51,1.57,67.0,54.34,1.57,1
0,4,21809885.0,21746998.0,122106.24,21507670.0,21986326.0,1.53,1.6,74.46,61.68,1.6,1
1,4,21809885.0,21716998.0,116522.15,21488614.0,21945382.0,1.56,1.62,76.06,63.42,1.62,1
2,4,21809885.0,21712998.0,119991.33,21477816.0,21948180.0,1.49,1.58,82.04,69.36,1.58,1
3,4,21809885.0,21782998.0,116519.41,21554620.0,22011376.0,1.5,1.57,75.46,62.85,1.57,1
4,4,21809885.0,21791998.0,127698.34,21541710.0,22042286.0,1.65,1.7,79.85,67.09,1.7,1
5,4,21809885.0,21845998.0,113565.45,21623410.0,22068586.0,1.56,1.64,80.01,67.4,1.64,1
6,4,21809885.0,21864998.0,121820.73,21626230.0,22103766.0,1.51,1.6,79.16,66.02,1.6,1
7,4,21809885.0,21645998.0,112947.91,21424620.0,21867376.0,1.66,1.73,86.57,73.82,1.73,1
8,4,21809885.0,21680998.0,123116.29,21439690.0,21922306.0,1.52,1.57,79.95,67.32,1.57,1
9,4,21809885.0,21804998.0,115876.57,21577880.0,22032116.0,1.51,1.57,76.21,63.63,1.57,1
0,5,43877172.0,44042996.0,104820.62,43837548.0,44248444.0,1.54,1.59,87.6,74.87,1.59,1
1,5,43877172.0,44006996.0,113916.53,43783720.0,44230272.0,1.55,1.62,80.35,67.62,1.62,1
2,5,43877172.0,43976996.0,101445.33,43778164.0,44175828.0,1.56,1.64,84.4,71.74,1.64,1
3,5,43877172.0,43812996.0,111390.84,43594668.0,44031324.0,1.58,1.61,85.01,72.33,1.61,1
4,5,43877172.0,43736996.0,112839.54,43515832.0,43958160.0,1.57,1.64,85.86,73.15,1.64,1
5,5,43877172.0,43795996.0,111938.99,43576596.0,44015396.0,1.48,1.57,92.63,80.0,1.57,1
6,5,43877172.0,43856996.0,112576.11,43636348.0,44077644.0,1.55,1.59,80.61,67.95,1.59,1
7,5,43877172.0,43900996.0,100162.59,43704676.0,44097316.0,1.49,1.61,82.03,69.35,1.61,1
8,5,43877172.0,43765996.0,111081.38,43548276.0,43983716.0,1.57,1.68,84.93,72.2,1.68,1
9,5,43877172.0,43893996.0,112840.21,43672828.0,44115164.0,1.51,1.56,81.07,68.52,1.56,1
0,6,16357096.0,16382999.0,97259.41,16192371.0,16573627.0,1.51,1.57,79.49,66.78,1.57,1
1,6,16357096.0,16329999.0,111233.08,16111982.0,16548016.0,1.54,1.64,74.0,61.32,1.64,1
2,6,16357096.0,16233999.0,112013.24,16014453.0,16453545.0,1.61,1.67,76.18,63.5,1.67,1
3,6,16357096.0,16358999.0,112812.66,16137886.0,16580112.0,1.59,1.66,76.96,64.24,1.66,1
4,6,16357096.0,16319999.0,109294.55,16105782.0,16534216.0,1.52,1.57,72.85,60.27,1.57,1
5,6,16357096.0,16467999.0,113151.98,16246221.0,16689777.0,1.5,1.56,74.04,61.3,1.56,1
6,6,16357096.0,16408999.0,110530.97,16192358.0,16625640.0,1.56,1.61,76.2,63.49,1.61,1
7,6,16357096.0,16361999.0,110396.71,16145621.0,16578377.0,1.6,1.62,77.05,64.3,1.62,1
8,6,16357096.0,16388999.0,103968.59,16185221.0,16592777.0,1.57,1.62,72.2,59.54,1.62,1
9,6,16357096.0,16388999.0,112247.05,16168995.0,16609003.0,1.5,1.56,73.5,63.69,1.56,1
0,7,10792922.0,10765999.0,87762.52,10593984.0,10938014.0,1.57,1.59,69.78,57.34,1.59,1
1,7,10792922.0,10812999.0,99350.98,10618271.0,11007727.0,1.56,1.67,69.48,56.75,1.67,1
2,7,10792922.0,10806999.0,92109.8,10626464.0,10987534.0,1.53,1.6,72.22,59.63,1.6,1
3,7,10792922.0,10912999.0,94711.77,10727364.0,11098634.0,1.51,1.55,75.26,62.75,1.55,1
4,7,10792922.0,10904999.0,95416.09,10717983.0,11092015.0,1.65,1.69,64.1,56.91,1.69,1
5,7,10792922.0,10806999.0,93996.77,10622765.0,10991233.0,1.56,1.59,63.59,53.83,1.59,1
6,7,10792922.0,10703999.0,90839.35,10525954.0,10882044.0,1.64,1.7,72.87,61.5,1.7,1
7,7,10792922.0,10887999.0,85422.74,10720570.0,11055428.0,1.54,1.61,75.63,63.01,1.61,1
8,7,10792922.0,10896999.0,84414.11,10731547.0,11062451.0,1.52,1.57,67.81,59.29,1.57,1
9,7,10792922.0,10872999.0,84028.72,10708303.0,11037695.0,1.53,1.58,64.67,53.8,1.58,1
0,8,10904415.0,10828999.0,91619.03,10649426.0,11008572.0,1.49,1.54,72.27,61.7,1.54,1
1,8,10904415.0,11040999.0,96079.05,10852684.0,11229314.0,1.55,1.58,76.67,68.59,1.58,1
2,8,10904415.0,10813999.0,94700.7,10628386.0,10999612.0,1.53,1.59,76.19,66.05,1.59,1
3,8,10904415.0,10965999.0,97235.98,10775416.0,11156582.0,1.5,1.55,77.84,66.51,1.55,1
4,8,10904415.0,10591999.0,95158.84,10405488.0,10778510.0,1.66,1.69,80.34,67.42,1.69,0
5,8,10904415.0,10845999.0,97393.1,10655109.0,11036889.0,1.54,1.6,76.28,63.65,1.6,1
