
Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,22790627.0,22809000.0,51950.5,22707178.0,22910822.0,8.6,8.93,74.04,54.09,8.93,1
1,1,22790627.0,22859000.0,49962.46,22761074.0,22956926.0,8.52,8.87,74.05,54.14,8.87,1
2,1,22790627.0,22880600.0,50167.51,22782272.0,22978928.0,8.66,8.99,80.28,60.21,8.99,1
3,1,22790627.0,22773800.0,50531.5,22674758.0,22872842.0,8.53,8.89,85.77,65.78,8.89,1
4,1,22790627.0,22753600.0,51092.71,22653458.0,22853742.0,8.52,8.85,77.23,58.09,8.85,1
5,1,22790627.0,22718400.0,49507.25,22621366.0,22815434.0,8.48,8.82,65.85,52.05,8.82,1
6,1,22790627.0,22781800.0,52372.04,22679150.0,22884450.0,8.57,8.93,78.2,59.7,8.93,1
7,1,22790627.0,22757600.0,51085.74,22657472.0,22857728.0,8.56,8.89,76.69,56.73,8.89,1
8,1,22790627.0,22746600.0,55199.79,22638408.0,22854792.0,8.51,8.88,77.96,58.03,8.89,1
9,1,22790627.0,22716000.0,53585.52,22610972.0,22821028.0,8.61,8.97,77.16,57.12,8.97,1
0,2,27856078.0,27849400.0,51925.57,27747626.0,27951174.0,8.52,8.88,77.89,57.77,8.88,1
1,2,27856078.0,27891800.0,49648.03,27794490.0,27989110.0,8.6,8.95,70.18,52.21,8.95,1
2,2,27856078.0,27817400.0,52672.42,27714162.0,27920638.0,8.57,8.94,68.77,50.09,8.94,1
3,2,27856078.0,27835000.0,50769.5,27735492.0,27934508.0,8.55,8.89,73.52,55.5,8.89,1
4,2,27856078.0,27839400.0,55210.38,27731188.0,27947612.0,8.58,8.95,70.95,55.64,8.95,1
5,2,27856078.0,27879400.0,58283.31,27765164.0,27993636.0,8.65,8.99,66.36,49.22,8.99,1
6,2,27856078.0,27800200.0,52860.41,27696594.0,27903806.0,8.47,8.86,69.38,50.71,8.86,1
7,2,27856078.0,27888400.0,56990.15,27776700.0,28000100.0,8.55,8.92,65.93,51.7,8.92,1
8,2,27856078.0,27930200.0,50379.16,27831456.0,28028944.0,8.5,8.85,73.15,53.23,8.85,1
9,2,27856078.0,27867000.0,57887.72,27753540.0,27980460.0,8.5,8.85,73.62,53.7,8.85,1
0,3,19280625.0,19306600.0,50354.62,19207904.0,19405296.0,8.49,8.81,70.92,51.05,8.81,1
1,3,19280625.0,19258600.0,52975.85,19154768.0,19362432.0,8.56,8.83,75.07,55.22,8.83,1
2,3,19280625.0,19301400.0,50880.39,19201674.0,19401126.0,8.46,8.83,72.42,52.42,8.83,1
3,3,19280625.0,19328200.0,55016.11,19220368.0,19436032.0,8.58,8.92,77.71,57.67,8.92,1
4,3,19280625.0,19363800.0,53621.16,19258702.0,19468898.0,8.46,8.81,69.81,49.93,8.81,1
5,3,19280625.0,19314200.0,49881.51,19216432.0,19411968.0,8.52,8.89,69.26,49.34,8.89,1
6,3,19280625.0,19264200.0,48123.58,19169878.0,19358522.0,8.62,8.94,72.06,51.97,8.94,1
7,3,19280625.0,19252800.0,50333.1,19154148.0,19351452.0,8.52,8.83,71.35,51.37,8.83,1
8,3,19280625.0,19265800.0,52925.11,19162066.0,19369534.0,8.51,8.86,73.36,53.47,8.86,1
9,3,19280625.0,19272800.0,53565.66,19167812.0,19377788.0,8.43,8.79,70.19,50.38,8.79,1
0,4,21809885.0,21796400.0,57638.85,21683428.0,21909372.0,8.51,8.88,89.55,69.55,8.88,1
1,4,21809885.0,21801400.0,51763.88,21699942.0,21902858.0,8.49,8.82,80.68,60.85,8.82,1
2,4,21809885.0,21784800.0,53700.06,21679548.0,21890052.0,8.66,8.99,95.39,75.39,8.99,1
3,4,21809885.0,21813000.0,49266.77,21716438.0,21909562.0,8.54,8.91,84.23,64.26,8.91,1
4,4,21809885.0,21788800.0,56936.48,21677204.0,21900396.0,8.54,8.86,85.67,65.73,8.86,1
5,4,21809885.0,21905000.0,52049.3,21802984.0,22007016.0,8.55,8.89,99.77,79.7,8.89,1
6,4,21809885.0,21726200.0,54300.64,21619770.0,21832630.0,8.61,8.96,91.95,71.95,8.96,1
7,4,21809885.0,21862800.0,55672.12,21753682.0,21971918.0,8.51,8.83,89.9,70.0,8.83,1
8,4,21809885.0,21786800.0,53206.14,21682516.0,21891084.0,8.49,8.85,89.53,70.17,8.85,1
9,4,21809885.0,21780600.0,49592.02,21683400.0,21877800.0,8.59,8.92,82.58,66.52,8.92,1
0,5,43877172.0,43906000.0,51764.28,43804544.0,44007456.0,8.52,8.82,82.16,67.76,8.82,1
1,5,43877172.0,43851400.0,43812.46,43765528.0,43937272.0,8.59,8.89,92.82,75.58,8.89,1
2,5,43877172.0,43923000.0,48358.04,43828220.0,44017780.0,8.5,8.79,90.12,72.15,8.79,1
3,5,43877172.0,43913600.0,46518.61,43822424.0,44004776.0,8.52,8.82,94.59,74.74,8.82,1
4,5,43877172.0,43870200.0,51452.23,43769352.0,43971048.0,8.61,8.93,91.49,71.13,8.93,1
5,5,43877172.0,43881200.0,49438.27,43784300.0,43978100.0,8.55,8.88,88.33,68.29,8.88,1
6,5,43877172.0,43798000.0,51377.75,43697300.0,43898700.0,8.5,8.82,90.3,70.41,8.82,1
7,5,43877172.0,43901400.0,46316.85,43810620.0,43992180.0,8.47,8.77,96.8,77.03,8.77,1
8,5,43877172.0,43922200.0,48728.46,43826692.0,44017708.0,8.51,8.82,93.57,74.25,8.82,1
9,5,43877172.0,43907800.0,51386.44,43807084.0,44008516.0,8.55,8.85,87.42,72.69,8.85,1
0,6,16357096.0,16373800.0,46160.54,16283325.0,16464275.0,8.6,8.89,85.59,65.56,8.89,1
1,6,16357096.0,16353000.0,43790.36,16267171.0,16438829.0,8.66,8.93,83.32,63.15,8.93,1
2,6,16357096.0,16402800.0,46414.01,16311829.0,16493771.0,8.49,8.79,80.88,61.01,8.79,1
3,6,16357096.0,16390800.0,44986.08,16302627.0,16478973.0,8.49,8.78,87.37,67.56,8.78,1
4,6,16357096.0,16306600.0,45415.86,16217585.0,16395615.0,8.59,8.92,78.36,58.37,8.92,1
5,6,16357096.0,16328400.0,54147.02,16222272.0,16434528.0,8.56,8.87,83.14,63.26,8.87,1
6,6,16357096.0,16421400.0,48305.57,16326721.0,16516079.0,8.52,8.81,78.16,58.32,8.81,1
7,6,16357096.0,16293200.0,49374.54,16196426.0,16389974.0,8.49,8.8,79.73,59.93,8.8,1
8,6,16357096.0,16287600.0,45465.8,16198487.0,16376713.0,8.59,8.86,80.26,60.38,8.86,1
9,6,16357096.0,16373200.0,49635.22,16275915.0,16470485.0,8.57,8.86,80.62,60.73,8.86,1
0,7,10792922.0,10742400.0,41036.76,10661968.0,10822832.0,8.61,8.87,79.61,59.38,8.87,1
1,7,10792922.0,10826800.0,42090.82,10744302.0,10909298.0,8.49,8.74,74.61,54.77,8.74,1
2,7,10792922.0,10806600.0,43347.12,10721640.0,10891560.0,8.48,8.74,76.01,56.18,8.74,1
3,7,10792922.0,10812600.0,44562.13,10725258.0,10899942.0,8.55,8.82,83.35,63.51,8.82,1
4,7,10792922.0,10792200.0,39756.17,10714278.0,10870122.0,8.52,8.76,76.84,57.04,8.76,1
5,7,10792922.0,10809200.0,46034.02,10718973.0,10899427.0,8.64,8.92,78.61,58.68,8.92,1
6,7,10792922.0,10797200.0,41837.29,10715199.0,10879201.0,8.49,8.75,75.74,55.95,8.75,1
7,7,10792922.0,10798800.0,38345.67,10723642.0,10873958.0,8.6,8.84,74.18,54.19,8.84,1
8,7,10792922.0,10851000.0,44277.3,10764216.0,10937784.0,8.5,8.74,73.86,54.08,8.74,1
9,7,10792922.0,10763600.0,44524.67,10676332.0,10850868.0,8.48,8.77,74.42,54.6,8.77,1
0,8,10904415.0,10904200.0,40740.12,10824349.0,10984051.0,8.51,8.75,84.75,64.39,8.75,1
1,8,10904415.0,10922800.0,39830.36,10844732.0,11000868.0,8.54,8.81,81.37,61.44,8.81,1
2,8,10904415.0,10910400.0,43124.67,10825876.0,10994924.0,8.64,8.87,84.98,65.08,8.87,1
3,8,10904415.0,10862800.0,42229.77,10780030.0,10945570.0,8.6,8.9,81.25,61.32,8.9,1
4,8,10904415.0,10875400.0,44252.53,10788665.0,10962135.0,8.58,8.88,81.7,61.77,8.88,1
5,8,10904415.0,10896000.0,39147.89,10819270.0,10972730.0,8.56,8.77,81.12,61.19,8.77,1
6,8,10904415.0,10865600.0,43601.09,10780142.0,10951058.0,8.48,8.73,84.08,64.26,8.73,1
7,8,10904415.0,10836200.0,39483.39,10758813.0,10913587.0,8.52,8.77,83.34,63.47,8.77,1
8,8,10904415.0,10904600.0,39035.95,10828090.0,10981110.0,8.63,8.84,81.74,61.83,8.84,1
9,8,10904415.0,10843800.0,42964.32,10759590.0,10928010.0,8.62,8.86,89.78,69.87,8.86,1
0,9,11893287.0,11925400.0,42281.95,11842527.0,12008273.0,8.52,8.77,81.18,61.2,8.77,1
1,9,11893287.0,11879600.0,45771.95,11789887.0,11969313.0,8.54,8.81,80.73,60.85,8.81,1
2,9,11893287.0,11874400.0,39980.46,11796038.0,11952762.0,8.57,8.8,87.8,67.86,8.8,1
3,9,11893287.0,11877400.0,44460.12,11790258.0,11964542.0,8.45,8.74,81.44,61.69,8.74,1
4,9,11893287.0,11944400.0,43439.84,11859258.0,12029542.0,8.61,8.93,87.11,67.1,8.93,1
5,9,11893287.0,11955200.0,48549.36,11860043.0,12050357.0,8.54,8.82,78.43,58.58,8.82,1
6,9,11893287.0,11892800.0,44966.73,11804665.0,11980935.0,8.5,8.78,81.07,61.13,8.78,1
7,9,11893287.0,11862000.0,43068.24,11777586.0,11946414.0,8.5,8.79,82.41,62.59,8.79,1
8,9,11893287.0,11923000.0,46974.0,11830931.0,12015069.0,8.52,8.78,80.12,60.34,8.78,1
9,9,11893287.0,11932600.0,43388.78,11847558.0,12017642.0,8.52,8.79,83.54,63.57,8.79,1
0,10,15000000.0,14987200.0,46957.39,14895164.0,15079236.0,8.5,8.81,68.23,48.36,8.81,1
1,10,15000000.0,14967200.0,47552.22,14873998.0,15060402.0,8.51,8.82,67.89,48.02,8.82,1
2,10,15000000.0,15023000.0,46605.98,14931652.0,15114348.0,8.57,8.87,69.78,49.83,8.87,1
3,10,15000000.0,15011600.0,43520.44,14926300.0,15096900.0,8.64,8.94,70.32,50.27,8.94,1
4,10,15000000.0,14924600.0,45203.9,14836000.0,15013200.0,8.52,8.8,75.26,55.37,8.8,1
5,10,15000000.0,14970600.0,50294.75,14872022.0,15069178.0,8.51,8.79,68.64,48.8,8.79,1
6,10,15000000.0,15002600.0,44319.12,14915735.0,15089465.0,8.63,8.9,70.8,50.79,8.9,1
7,10,15000000.0,14996600.0,44518.92,14909343.0,15083857.0,8.48,8.8,72.34,52.5,8.8,1
8,10,15000000.0,14951000.0,49795.27,14853401.0,15048599.0,8.61,8.92,74.23,54.25,8.92,1
9,10,15000000.0,15003000.0,46577.22,14911709.0,15094291.0,8.46,8.77,68.96,49.15,8.77,1
