Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,227014.0,226200.0,3955.75,218446.73,233953.27,0.14,0.14,0.78,0.58,0.14,1
1,1,227014.0,226300.0,3992.9,218473.91,234126.09,0.13,0.14,0.78,0.58,0.14,1
2,1,227014.0,234600.0,3931.23,226894.78,242305.22,0.14,0.14,0.76,0.57,0.14,1
3,1,227014.0,226600.0,3853.07,219047.98,234152.02,0.13,0.14,0.76,0.58,0.14,1
4,1,227014.0,238200.0,4175.66,230015.7,246384.3,0.12,0.14,0.76,0.56,0.14,0
5,1,227014.0,226800.0,3828.5,219296.14,234303.86,0.12,0.14,0.79,0.59,0.14,1
6,1,227014.0,226700.0,3580.17,219682.86,233717.14,0.14,0.14,0.8,0.6,0.14,1
7,1,227014.0,225300.0,3750.23,217949.55,232650.45,0.14,0.14,0.76,0.57,0.14,1
8,1,227014.0,229000.0,3553.88,222034.41,235965.59,0.13,0.14,0.78,0.59,0.14,1
9,1,227014.0,229600.0,4007.73,221744.84,237455.16,0.14,0.14,0.75,0.56,0.14,1
0,2,278356.0,275700.0,3649.54,268546.91,282853.09,0.14,0.14,0.75,0.55,0.14,1
1,2,278356.0,281000.0,3859.86,273434.69,288565.31,0.14,0.15,0.75,0.54,0.15,1
2,2,278356.0,274900.0,4150.64,266764.75,283035.25,0.15,0.15,0.73,0.52,0.15,1
3,2,278356.0,285800.0,3850.75,278252.53,293347.47,0.13,0.14,0.7,0.51,0.14,1
4,2,278356.0,276600.0,4086.75,268589.97,284610.03,0.13,0.13,0.72,0.53,0.13,1
5,2,278356.0,282400.0,3948.36,274661.22,290138.78,0.14,0.14,0.72,0.53,0.14,1
6,2,278356.0,285500.0,3762.96,278124.59,292875.41,0.13,0.14,0.73,0.53,0.14,1
7,2,278356.0,270100.0,3686.89,262873.69,277326.31,0.14,0.14,0.73,0.53,0.14,0
8,2,278356.0,275900.0,3721.04,268606.78,283193.22,0.13,0.14,0.75,0.55,0.14,1
9,2,278356.0,274100.0,3993.62,266272.5,281927.5,0.13,0.14,0.75,0.55,0.14,1
0,3,192924.0,190000.0,3606.46,182931.33,197068.67,0.13,0.14,0.74,0.55,0.14,1
1,3,192924.0,196400.0,3694.33,189159.11,203640.89,0.15,0.15,0.75,0.54,0.15,1
2,3,192924.0,192500.0,3705.37,185237.47,199762.53,0.13,0.14,0.74,0.54,0.14,1
3,3,192924.0,198900.0,3625.52,191793.97,206006.03,0.13,0.15,0.74,0.53,0.15,1
4,3,192924.0,193700.0,3578.84,186685.47,200714.53,0.13,0.14,0.72,0.52,0.14,1
5,3,192924.0,193900.0,3750.4,186549.22,201250.78,0.12,0.14,0.73,0.53,0.14,1
6,3,192924.0,189200.0,3491.13,182357.39,196042.61,0.14,0.14,0.76,0.56,0.14,1
7,3,192924.0,199400.0,3380.7,192773.81,206026.19,0.13,0.14,0.74,0.54,0.14,1
8,3,192924.0,191000.0,3621.45,183901.95,198098.05,0.14,0.14,0.74,0.54,0.14,1
9,3,192924.0,189800.0,3577.39,182788.33,196811.67,0.14,0.14,0.72,0.52,0.14,1
0,4,218426.0,214100.0,3524.34,207192.28,221007.72,0.13,0.14,0.88,0.68,0.14,1
1,4,218426.0,221600.0,4047.21,213667.45,229532.55,0.13,0.14,0.87,0.67,0.14,1
2,4,218426.0,221900.0,3875.54,214303.94,229496.06,0.14,0.14,0.88,0.68,0.14,1
3,4,218426.0,219100.0,3552.14,212137.8,226062.2,0.14,0.14,0.89,0.69,0.14,1
4,4,218426.0,212700.0,3643.48,205558.78,219841.22,0.13,0.14,0.89,0.69,0.14,1
5,4,218426.0,216000.0,3613.77,208917.0,223083.0,0.11,0.13,0.9,0.7,0.13,1
6,4,218426.0,221100.0,3963.68,213331.17,228868.83,0.14,0.14,0.89,0.7,0.14,1
7,4,218426.0,220200.0,3553.29,213235.55,227164.45,0.14,0.14,0.88,0.69,0.14,1
8,4,218426.0,218800.0,3857.62,211239.06,226360.94,0.12,0.14,0.87,0.67,0.14,1
9,4,218426.0,213400.0,3443.68,206650.39,220149.61,0.14,0.14,0.89,0.69,0.14,1
0,5,429156.0,432100.0,3372.38,425490.12,438709.88,0.13,0.14,0.94,0.74,0.14,1
1,5,429156.0,427000.0,3176.32,420774.41,433225.59,0.12,0.14,0.93,0.73,0.14,1
2,5,429156.0,429800.0,3481.36,422976.53,436623.47,0.13,0.14,0.92,0.73,0.14,1
3,5,429156.0,430800.0,3397.18,424141.53,437458.47,0.13,0.13,0.91,0.72,0.13,1
4,5,429156.0,429800.0,3300.72,423330.59,436269.41,0.12,0.13,0.94,0.75,0.13,1
5,5,429156.0,426500.0,3805.52,419041.19,433958.81,0.13,0.15,0.94,0.73,0.15,1
6,5,429156.0,430600.0,3229.07,424271.03,436928.97,0.14,0.14,0.96,0.76,0.14,1
7,5,429156.0,429600.0,3598.21,422547.5,436652.5,0.13,0.14,0.95,0.75,0.14,1
8,5,429156.0,429800.0,3592.28,422759.12,436840.88,0.14,0.14,0.93,0.73,0.14,1
9,5,429156.0,425000.0,3613.71,417917.12,432082.88,0.14,0.14,0.93,0.73,0.14,1
0,6,163131.0,163100.0,3490.37,156258.86,169941.14,0.11,0.14,0.85,0.65,0.14,1
1,6,163131.0,164900.0,3359.53,158315.33,171484.67,0.12,0.14,0.83,0.63,0.14,1
2,6,163131.0,155800.0,3474.9,148989.2,162610.8,0.13,0.14,0.85,0.65,0.14,0
3,6,163131.0,161200.0,3302.45,154727.2,167672.8,0.12,0.14,0.85,0.65,0.14,1
4,6,163131.0,158800.0,3702.27,151543.55,166056.45,0.14,0.15,0.86,0.65,0.15,1
5,6,163131.0,164500.0,3806.26,157039.73,171960.27,0.12,0.14,0.84,0.64,0.14,1
6,6,163131.0,165200.0,3382.65,158570.0,171830.0,0.11,0.14,0.85,0.65,0.14,1
7,6,163131.0,161600.0,3640.64,154464.36,168735.64,0.13,0.14,0.84,0.64,0.14,1
8,6,163131.0,158700.0,3383.12,152069.08,165330.92,0.13,0.13,0.82,0.63,0.13,1
9,6,163131.0,160200.0,3718.78,152911.2,167488.8,0.13,0.14,0.85,0.65,0.14,1
0,7,107671.0,110900.0,2997.78,105024.36,116775.64,0.13,0.13,0.8,0.61,0.13,1
1,7,107671.0,111700.0,3258.26,105313.8,118086.2,0.11,0.13,0.77,0.58,0.13,1
2,7,107671.0,107700.0,3168.57,101489.6,113910.4,0.14,0.14,0.75,0.56,0.14,1
3,7,107671.0,108500.0,2822.17,102968.55,114031.45,0.14,0.14,0.79,0.59,0.14,1
4,7,107671.0,112100.0,2747.99,106713.94,117486.06,0.13,0.13,0.79,0.6,0.13,1
5,7,107671.0,108100.0,2790.62,102630.38,113569.62,0.14,0.14,0.78,0.58,0.14,1
6,7,107671.0,107800.0,2861.7,102191.06,113408.94,0.15,0.15,0.79,0.58,0.15,1
7,7,107671.0,105500.0,2920.36,99776.1,111223.9,0.13,0.13,0.79,0.6,0.13,1
8,7,107671.0,104100.0,2925.1,98366.81,109833.19,0.11,0.14,0.79,0.59,0.14,1
9,7,107671.0,104600.0,3030.19,98660.83,110539.17,0.13,0.14,0.78,0.58,0.14,1
0,8,109024.0,109800.0,2948.22,104021.49,115578.51,0.13,0.14,0.86,0.66,0.14,1
1,8,109024.0,110100.0,3009.28,104201.81,115998.19,0.13,0.14,0.85,0.65,0.14,1
2,8,109024.0,108500.0,2872.23,102870.42,114129.58,0.13,0.14,0.88,0.68,0.14,1
3,8,109024.0,109800.0,2833.24,104246.84,115353.16,0.13,0.14,0.85,0.65,0.14,1
4,8,109024.0,113400.0,3067.01,107388.66,119411.34,0.14,0.14,0.86,0.66,0.14,1
5,8,109024.0,113400.0,3108.57,107307.2,119492.8,0.14,0.14,0.85,0.64,0.14,1
6,8,109024.0,108500.0,2980.63,102657.96,114342.04,0.13,0.14,0.85,0.65,0.14,1
7,8,109024.0,106900.0,2980.14,101058.94,112741.06,0.14,0.14,0.88,0.68,0.14,1
8,8,109024.0,109100.0,3215.75,102797.13,115402.87,0.14,0.14,0.85,0.65,0.14,1
9,8,109024.0,110200.0,3106.58,104111.11,116288.89,0.13,0.14,0.84,0.64,0.14,1
0,9,126798.0,127100.0,3316.83,120599.02,133600.98,0.13,0.14,0.86,0.65,0.14,1
1,9,126798.0,124400.0,2990.96,118537.71,130262.29,0.13,0.13,0.84,0.65,0.13,1
2,9,126798.0,124600.0,3120.63,118483.58,130716.42,0.13,0.13,0.84,0.66,0.13,1
3,9,126798.0,133900.0,3028.49,127964.16,139835.84,0.14,0.14,0.86,0.66,0.14,0
4,9,126798.0,124500.0,3399.1,117837.77,131162.23,0.13,0.14,0.86,0.66,0.14,1
5,9,126798.0,128700.0,3114.34,122595.89,134804.11,0.14,0.14,0.84,0.64,0.14,1
6,9,126798.0,126800.0,3176.0,120575.03,133024.97,0.14,0.14,0.86,0.66,0.14,1
7,9,126798.0,126600.0,3236.84,120255.8,132944.2,0.13,0.14,0.87,0.67,0.14,1
8,9,126798.0,127800.0,3065.97,121790.7,133809.3,0.14,0.14,0.84,0.65,0.14,1
9,9,126798.0,132600.0,3451.68,125834.7,139365.3,0.14,0.14,0.86,0.66,0.14,1
0,10,149859.0,147000.0,3440.57,140256.48,153743.52,0.14,0.14,0.73,0.53,0.14,1
1,10,149859.0,152000.0,3199.43,145729.11,158270.89,0.11,0.14,0.76,0.56,0.14,1
2,10,149859.0,146000.0,3553.91,139034.34,152965.66,0.14,0.14,0.72,0.51,0.14,1
3,10,149859.0,149700.0,3285.51,143260.41,156139.59,0.13,0.14,0.73,0.53,0.14,1
4,10,149859.0,155900.0,3328.79,149375.58,162424.42,0.13,0.14,0.73,0.53,0.14,1
5,10,149859.0,147900.0,3066.37,141889.92,153910.08,0.14,0.14,0.69,0.51,0.14,1
6,10,149859.0,143900.0,3338.27,137356.98,150443.02,0.14,0.14,0.73,0.54,0.14,1
7,10,149859.0,147300.0,2990.52,141438.59,153161.41,0.14,0.14,0.72,0.52,0.14,1
8,10,149859.0,146000.0,3517.14,139106.41,152893.59,0.14,0.14,0.73,0.53,0.14,1
9,10,149859.0,156900.0,3452.24,150133.61,163666.39,0.13,0.14,0.72,0.52,0.14,0
