Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,22790627.0,22811500.0,37433.89,22738130.0,22884870.0,17.84,18.55,82.45,53.07,18.55,1
1,1,22790627.0,22834900.0,36788.87,22762794.0,22907006.0,17.97,18.64,85.91,56.18,18.64,1
2,1,22790627.0,22835500.0,36345.01,22764264.0,22906736.0,17.9,18.59,94.42,64.76,18.59,1
3,1,22790627.0,22840000.0,35061.59,22771280.0,22908720.0,17.95,18.63,93.08,63.51,18.63,1
4,1,22790627.0,22840700.0,38506.39,22765228.0,22916172.0,17.95,18.62,95.99,66.2,18.62,1
5,1,22790627.0,22736000.0,36643.62,22664178.0,22807822.0,18.01,18.68,93.17,63.45,18.68,1
6,1,22790627.0,22789200.0,42147.93,22706590.0,22871810.0,17.95,18.64,86.98,60.47,18.64,1
7,1,22790627.0,22814400.0,38396.98,22739142.0,22889658.0,17.92,18.63,85.22,56.75,18.63,1
8,1,22790627.0,22772900.0,38891.99,22696672.0,22849128.0,17.86,18.56,83.67,56.96,18.56,1
9,1,22790627.0,22852800.0,40257.52,22773896.0,22931704.0,17.89,18.59,81.96,58.34,18.59,1
0,2,27856078.0,27848500.0,36903.83,27776168.0,27920832.0,17.9,18.64,82.45,52.49,18.64,1
1,2,27856078.0,27864700.0,40087.64,27786128.0,27943272.0,17.91,18.61,80.44,50.74,18.61,1
2,2,27856078.0,27858700.0,34555.13,27790972.0,27926428.0,17.92,18.65,82.38,52.7,18.65,1
3,2,27856078.0,27874700.0,38313.24,27799606.0,27949794.0,17.89,18.67,83.22,53.53,18.67,1
4,2,27856078.0,27851200.0,37662.13,27777382.0,27925018.0,17.88,18.6,78.34,48.7,18.6,1
5,2,27856078.0,27847900.0,40666.82,27768194.0,27927606.0,17.89,18.65,79.33,49.59,18.65,1
6,2,27856078.0,27842500.0,39027.27,27766006.0,27918994.0,17.89,18.64,84.9,55.08,18.64,1
7,2,27856078.0,27834400.0,35163.42,27765480.0,27903320.0,18.02,18.76,86.09,56.29,18.76,1
8,2,27856078.0,27899100.0,35262.82,27829984.0,27968216.0,17.83,18.59,86.02,56.33,18.59,1
9,2,27856078.0,27794600.0,36988.41,27722102.0,27867098.0,17.84,18.62,79.44,49.73,18.62,1
0,3,19280625.0,19357600.0,37592.31,19283920.0,19431280.0,17.97,18.65,83.37,53.6,18.65,0
1,3,19280625.0,19345800.0,38768.42,19269814.0,19421786.0,17.98,18.51,84.96,55.42,18.51,1
2,3,19280625.0,19272200.0,38725.34,19196298.0,19348102.0,17.92,18.58,82.69,53.08,18.58,1
3,3,19280625.0,19247200.0,36580.78,19175502.0,19318898.0,18.04,18.59,85.73,56.15,18.6,1
4,3,19280625.0,19326200.0,36899.51,19253876.0,19398524.0,17.85,18.52,79.94,55.94,18.52,1
5,3,19280625.0,19224900.0,33266.54,19159698.0,19290102.0,17.86,18.52,73.97,48.92,18.52,1
6,3,19280625.0,19287600.0,35539.82,19217942.0,19357258.0,17.93,18.57,80.68,52.54,18.57,1
7,3,19280625.0,19245300.0,33169.21,19180288.0,19310312.0,17.9,18.51,73.71,48.79,18.51,1
8,3,19280625.0,19248800.0,35432.6,19179352.0,19318248.0,17.87,18.54,89.22,59.66,18.54,1
9,3,19280625.0,19276800.0,34413.55,19209350.0,19344250.0,17.88,18.52,79.65,50.03,18.52,1
0,4,21809885.0,21796600.0,36605.35,21724854.0,21868346.0,17.91,18.61,94.3,64.54,18.61,1
1,4,21809885.0,21831600.0,40690.78,21751846.0,21911354.0,17.88,18.58,99.95,70.32,18.58,1
