Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,2280109.0,2336000.0,37627.28,2262250.5,2409749.5,1.19,1.28,6.64,5.0,1.28,1
1,1,2280109.0,2245000.0,37464.68,2171569.25,2318430.75,1.22,1.28,6.65,5.0,1.28,1
2,1,2280109.0,2253000.0,38484.42,2177570.5,2328429.5,1.23,1.29,6.63,5.06,1.29,1
3,1,2280109.0,2233000.0,37982.38,2158554.5,2307445.5,1.23,1.28,6.62,5.06,1.28,1
4,1,2280109.0,2294000.0,37754.55,2220001.0,2367999.0,1.2,1.29,6.48,4.92,1.29,1
5,1,2280109.0,2352000.0,38054.35,2277413.5,2426586.5,1.21,1.29,6.59,5.03,1.29,1
6,1,2280109.0,2224000.0,38304.06,2148924.0,2299076.0,1.22,1.28,6.58,5.03,1.28,1
7,1,2280109.0,2241000.0,38193.93,2166140.0,2315860.0,1.2,1.28,6.61,5.05,1.28,1
8,1,2280109.0,2245000.0,37750.35,2171009.25,2318990.75,1.21,1.29,6.48,4.92,1.29,1
9,1,2280109.0,2245000.0,36439.48,2173578.5,2316421.5,1.23,1.3,6.81,5.14,1.3,1
0,2,2785246.0,2806999.0,38992.12,2730574.5,2883423.5,1.2,1.29,6.07,4.5,1.29,1
1,2,2785246.0,2830999.0,38480.01,2755578.25,2906419.75,1.23,1.29,6.42,4.76,1.29,1
2,2,2785246.0,2798999.0,38467.13,2723603.5,2874394.5,1.24,1.28,6.06,4.51,1.28,1
3,2,2785246.0,2807999.0,38036.55,2733447.25,2882550.75,1.22,1.3,6.16,4.59,1.3,1
4,2,2785246.0,2800999.0,39331.5,2723909.25,2878088.75,1.2,1.28,6.07,4.51,1.28,1
5,2,2785246.0,2798999.0,37406.98,2725681.25,2872316.75,1.21,1.29,6.2,4.53,1.29,1
6,2,2785246.0,2746999.0,38022.93,2672474.0,2821524.0,1.25,1.3,6.08,4.51,1.3,1
7,2,2785246.0,2694999.0,39952.89,2616691.25,2773306.75,1.22,1.3,6.12,4.55,1.3,0
8,2,2785246.0,2750999.0,39169.62,2674226.5,2827771.5,1.21,1.29,6.19,4.53,1.29,1
9,2,2785246.0,2707999.0,38868.18,2631817.25,2784180.75,1.23,1.29,6.17,4.52,1.29,0
0,3,1928020.0,1883999.0,35477.99,1814462.12,1953535.88,1.21,1.28,6.31,4.67,1.28,1
1,3,1928020.0,1909999.0,36255.01,1838939.12,1981058.88,1.26,1.29,6.32,4.67,1.29,1
2,3,1928020.0,1982999.0,37263.58,1909962.38,2056035.62,1.23,1.29,6.28,4.71,1.29,1
3,3,1928020.0,1928999.0,36024.12,1858391.75,1999606.25,1.2,1.28,6.06,4.51,1.28,1
4,3,1928020.0,1964999.0,34967.1,1896463.5,2033534.5,1.23,1.28,6.09,4.54,1.28,1
5,3,1928020.0,1979999.0,36703.66,1908059.88,2051938.12,1.15,1.28,6.09,4.54,1.28,1
6,3,1928020.0,1928999.0,36555.59,1857350.0,2000648.0,1.22,1.29,6.44,4.79,1.29,1
7,3,1928020.0,1925999.0,36988.32,1853501.88,1998496.12,1.21,1.28,6.28,4.63,1.28,1
8,3,1928020.0,1899999.0,35974.09,1829489.75,1970508.25,1.21,1.29,6.47,4.81,1.29,1
9,3,1928020.0,1916999.0,36139.89,1846164.75,1987833.25,1.19,1.28,6.19,4.64,1.28,1
0,4,2180873.0,2219000.0,36803.84,2146864.5,2291135.5,1.22,1.28,7.5,5.95,1.28,1
1,4,2180873.0,2251000.0,37201.89,2178084.25,2323915.75,1.26,1.29,7.65,5.98,1.29,1
2,4,2180873.0,2149000.0,35849.69,2078734.62,2219265.5,1.21,1.28,7.64,6.09,1.28,1
3,4,2180873.0,2115000.0,36702.21,2043063.62,2186936.25,1.21,1.28,7.53,5.98,1.28,1
4,4,2180873.0,2243000.0,37587.91,2169327.75,2316672.25,1.21,1.29,7.64,6.07,1.29,1
5,4,2180873.0,2160000.0,36938.58,2087600.38,2232399.5,1.16,1.28,7.53,5.97,1.28,1
6,4,2180873.0,2182000.0,38245.82,2107038.25,2256961.75,1.24,1.28,7.65,6.09,1.28,1
7,4,2180873.0,2205000.0,38428.84,2129679.5,2280320.5,1.2,1.29,7.46,5.9,1.29,1
8,4,2180873.0,2235000.0,37337.14,2161819.25,2308180.75,1.21,1.29,7.54,5.97,1.29,1
9,4,2180873.0,2196000.0,36959.53,2123559.25,2268440.75,1.23,1.29,7.54,5.98,1.29,1
0,5,4388299.0,4391000.0,34545.53,4323291.0,4458709.0,1.21,1.28,8.16,6.51,1.28,1
1,5,4388299.0,4360000.0,34708.46,4291971.5,4428028.5,1.21,1.28,8.06,6.51,1.28,1
2,5,4388299.0,4395000.0,34474.8,4327429.5,4462570.5,1.22,1.28,7.91,6.36,1.28,1
3,5,4388299.0,4380000.0,33983.93,4313391.5,4446608.5,1.22,1.28,8.2,6.56,1.28,1
4,5,4388299.0,4357000.0,33393.95,4291548.0,4422452.0,1.23,1.28,8.07,6.42,1.28,1
5,5,4388299.0,4441000.0,33166.47,4375993.5,4506006.5,1.2,1.27,7.9,6.36,1.27,1
6,5,4388299.0,4369000.0,33639.35,4303067.0,4434933.0,1.25,1.28,8.05,6.49,1.28,1
7,5,4388299.0,4368000.0,34227.32,4300914.5,4435085.5,1.18,1.27,8.02,6.47,1.27,1
8,5,4388299.0,4405000.0,33971.95,4338415.0,4471585.0,1.17,1.27,7.9,6.36,1.27,1
9,5,4388299.0,4368000.0,35314.41,4298784.0,4437216.0,1.22,1.28,7.86,6.31,1.28,1
0,6,1637487.0,1656999.0,34071.32,1590219.25,1723778.75,1.23,1.29,7.02,5.46,1.29,1
1,6,1637487.0,1623999.0,34475.0,1556428.0,1691570.0,1.19,1.27,7.38,5.76,1.27,1
2,6,1637487.0,1607999.0,34602.29,1540178.5,1675819.5,1.23,1.27,7.12,5.57,1.27,1
3,6,1637487.0,1657999.0,34586.2,1590210.0,1725788.0,1.22,1.29,7.01,5.44,1.29,1
4,6,1637487.0,1684999.0,34193.83,1617979.12,1752018.88,1.21,1.28,7.01,5.46,1.28,1
5,6,1637487.0,1623999.0,34719.76,1555948.25,1692049.75,1.2,1.27,7.21,5.66,1.27,1
6,6,1637487.0,1649999.0,34831.03,1581730.12,1718267.88,1.22,1.27,7.21,5.67,1.27,1
7,6,1637487.0,1627999.0,34566.72,1560248.25,1695749.75,1.27,1.28,7.22,5.66,1.28,1
8,6,1637487.0,1616999.0,33516.42,1551306.88,1682691.12,1.24,1.28,7.06,5.51,1.28,1
9,6,1637487.0,1678999.0,34882.29,1610629.75,1747368.25,1.21,1.28,7.12,5.56,1.28,1
0,7,1080692.0,1078000.0,28921.54,1021313.75,1134686.25,1.24,1.27,6.56,5.02,1.27,1
1,7,1080692.0,1085000.0,29710.49,1026767.44,1143232.62,1.24,1.27,6.5,4.95,1.27,1
2,7,1080692.0,1047999.0,29660.32,989864.75,1106133.25,1.22,1.26,6.65,5.1,1.26,1
3,7,1080692.0,1087000.0,30330.71,1027551.81,1146448.25,1.23,1.26,6.66,5.13,1.26,1
4,7,1080692.0,1083000.0,29573.13,1025036.69,1140963.38,1.22,1.27,6.62,5.08,1.27,1
5,7,1080692.0,1156000.0,30953.58,1095331.0,1216669.0,1.21,1.27,6.61,5.06,1.27,0
6,7,1080692.0,1021999.0,28888.57,965377.38,1078620.62,1.22,1.26,6.57,5.01,1.26,0
7,7,1080692.0,1047999.0,29433.48,990309.38,1105688.62,1.25,1.27,6.67,5.12,1.27,1
8,7,1080692.0,1050000.0,29243.93,992681.88,1107318.12,1.18,1.27,6.65,5.11,1.27,1
9,7,1080692.0,1115000.0,29772.03,1056646.88,1173353.12,1.23,1.27,6.61,5.06,1.27,1
0,8,1091271.0,1089000.0,30108.37,1029987.62,1148012.38,1.24,1.27,7.44,5.89,1.27,1
1,8,1091271.0,1073000.0,28591.62,1016960.44,1129039.62,1.18,1.26,7.24,5.71,1.26,1
2,8,1091271.0,1105000.0,30486.11,1045247.25,1164752.75,1.23,1.27,7.26,5.71,1.27,1
3,8,1091271.0,1119000.0,29476.31,1061226.38,1176773.62,1.24,1.28,7.43,5.88,1.28,1
4,8,1091271.0,1106000.0,30435.92,1046345.62,1165654.38,1.24,1.26,7.33,5.8,1.26,1
5,8,1091271.0,1083000.0,30080.85,1024041.5,1141958.5,1.23,1.26,7.36,5.83,1.26,1
6,8,1091271.0,1145000.0,29779.08,1086633.0,1203367.0,1.25,1.27,7.22,5.67,1.27,1
7,8,1091271.0,1058000.0,30086.99,999029.5,1116970.5,1.2,1.27,7.36,5.82,1.27,1
8,8,1091271.0,1089000.0,29525.08,1031130.88,1146869.12,1.25,1.27,7.42,5.78,1.27,1
9,8,1091271.0,1100000.0,30011.89,1041176.69,1158823.25,1.19,1.26,7.61,5.97,1.26,1
0,9,1189459.0,1166000.0,31041.35,1105159.0,1226841.0,1.26,1.27,7.26,5.71,1.27,1
1,9,1189459.0,1167000.0,29816.2,1108560.25,1225439.75,1.24,1.27,7.42,5.78,1.27,1
2,9,1189459.0,1176000.0,31743.5,1113782.75,1238217.25,1.21,1.27,7.18,5.64,1.27,1
3,9,1189459.0,1176000.0,30690.84,1115846.0,1236154.0,1.21,1.27,7.27,5.73,1.27,1
4,9,1189459.0,1178000.0,30815.89,1117600.88,1238399.12,1.19,1.27,7.41,5.82,1.27,1
5,9,1189459.0,1197000.0,30645.74,1136934.38,1257065.62,1.24,1.27,7.25,5.61,1.27,1
6,9,1189459.0,1194000.0,31182.08,1132883.12,1255116.88,1.22,1.27,7.25,5.71,1.27,1
7,9,1189459.0,1231000.0,31707.43,1168853.5,1293146.5,1.18,1.27,7.15,5.6,1.27,1
8,9,1189459.0,1159000.0,31083.58,1098076.25,1219923.75,1.26,1.26,7.16,5.62,1.26,1
9,9,1189459.0,1259000.0,31632.84,1196999.62,1321000.38,1.23,1.27,7.26,5.71,1.27,0
0,10,1499686.0,1507999.0,33213.3,1442900.88,1573097.12,1.19,1.27,6.16,4.53,1.27,1
