Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,227014.0,223600.0,4819.27,214154.23,233045.77,0.05,0.06,0.71,0.61,0.06,1
1,1,227014.0,220000.0,5289.8,209631.98,230368.02,0.06,0.06,0.72,0.63,0.06,1
2,1,227014.0,233000.0,5466.68,222285.31,243714.69,0.07,0.07,0.78,0.68,0.07,1
3,1,227014.0,218400.0,5060.36,208481.69,228318.31,0.05,0.06,0.75,0.63,0.06,1
4,1,227014.0,228400.0,4976.43,218646.19,238153.81,0.05,0.06,0.74,0.62,0.06,1
5,1,227014.0,224800.0,5359.33,214295.72,235304.28,0.05,0.06,0.7,0.62,0.06,1
6,1,227014.0,224200.0,5491.91,213435.86,234964.14,0.07,0.07,0.69,0.6,0.07,1
7,1,227014.0,216400.0,5343.17,205927.39,226872.61,0.06,0.06,0.68,0.6,0.06,0
8,1,227014.0,226400.0,5163.3,216279.94,236520.06,0.06,0.07,0.75,0.62,0.07,1
9,1,227014.0,234600.0,4684.28,225418.81,243781.19,0.06,0.06,0.75,0.62,0.06,1
0,2,278356.0,288200.0,5695.31,277037.19,299362.81,0.07,0.07,0.68,0.59,0.07,1
1,2,278356.0,269200.0,5836.92,257759.64,280640.38,0.06,0.07,0.7,0.57,0.07,1
2,2,278356.0,275000.0,5573.71,264075.53,285924.47,0.06,0.06,0.66,0.57,0.06,1
3,2,278356.0,279000.0,5573.94,268075.06,289924.94,0.05,0.06,0.65,0.57,0.06,1
4,2,278356.0,284200.0,5875.39,272684.25,295715.75,0.06,0.06,0.68,0.57,0.06,1
5,2,278356.0,270200.0,5501.17,259417.7,280982.28,0.07,0.07,0.69,0.56,0.07,1
6,2,278356.0,272000.0,4808.26,262575.81,281424.19,0.06,0.07,0.66,0.56,0.07,1
7,2,278356.0,275600.0,5231.48,265346.31,285853.69,0.06,0.06,0.64,0.55,0.06,1
8,2,278356.0,275000.0,5408.83,264398.69,285601.31,0.06,0.06,0.66,0.58,0.06,1
9,2,278356.0,276000.0,5058.46,266085.44,285914.56,0.07,0.07,0.68,0.59,0.07,1
0,3,192924.0,193800.0,5578.59,182865.97,204734.03,0.07,0.07,0.7,0.58,0.07,1
1,3,192924.0,191600.0,5159.76,181486.88,201713.12,0.06,0.06,0.69,0.57,0.06,1
2,3,192924.0,194800.0,5128.88,184747.41,204852.59,0.07,0.07,0.64,0.54,0.07,1
3,3,192924.0,191600.0,5091.82,181620.03,201579.97,0.07,0.07,0.68,0.59,0.07,1
4,3,192924.0,190600.0,5183.33,180440.67,200759.33,0.07,0.07,0.68,0.59,0.07,1
5,3,192924.0,190200.0,5170.69,180065.44,200334.56,0.07,0.07,0.68,0.59,0.07,1
6,3,192924.0,191600.0,5217.9,181372.92,201827.08,0.06,0.06,0.66,0.58,0.06,1
7,3,192924.0,193800.0,5022.08,183956.72,203643.28,0.06,0.06,0.67,0.59,0.06,1
8,3,192924.0,197200.0,5398.13,186619.66,207780.34,0.06,0.06,0.64,0.56,0.06,1
9,3,192924.0,187200.0,5054.31,177293.56,197106.44,0.04,0.06,0.68,0.6,0.06,1
0,4,218426.0,213800.0,5025.41,203950.2,223649.8,0.05,0.07,0.84,0.72,0.07,1
1,4,218426.0,218400.0,5448.91,207720.12,229079.88,0.05,0.06,0.83,0.71,0.06,1
2,4,218426.0,216200.0,5534.92,205351.56,227048.44,0.07,0.07,0.81,0.71,0.07,1
3,4,218426.0,218000.0,5046.84,208108.19,227891.81,0.06,0.07,0.78,0.69,0.07,1
4,4,218426.0,224600.0,5322.86,214167.19,235032.81,0.06,0.06,0.82,0.73,0.06,1
5,4,218426.0,215600.0,5595.83,204632.16,226567.84,0.07,0.07,0.83,0.74,0.07,1
6,4,218426.0,231400.0,5474.17,220670.62,242129.38,0.06,0.07,0.82,0.73,0.07,0
7,4,218426.0,213000.0,5814.16,201604.25,224395.75,0.07,0.07,0.8,0.7,0.07,1
8,4,218426.0,208400.0,4763.76,199063.03,217736.97,0.06,0.06,0.8,0.71,0.06,0
9,4,218426.0,213200.0,4596.62,204190.62,222209.38,0.06,0.07,0.76,0.67,0.07,1
0,5,429156.0,424600.0,4829.52,415134.16,434065.84,0.06,0.06,0.9,0.78,0.06,1
1,5,429156.0,434800.0,5137.9,424729.72,444870.28,0.06,0.07,0.9,0.77,0.07,1
2,5,429156.0,432000.0,4762.88,422664.75,441335.25,0.06,0.06,0.83,0.75,0.06,1
3,5,429156.0,431000.0,4775.55,421639.94,440360.06,0.07,0.07,0.9,0.77,0.07,1
4,5,429156.0,425800.0,4998.11,416003.72,435596.28,0.05,0.06,0.88,0.8,0.06,1
5,5,429156.0,429000.0,4617.75,419949.22,438050.78,0.07,0.07,0.88,0.79,0.07,1
6,5,429156.0,431200.0,4666.66,422053.34,440346.66,0.07,0.07,0.86,0.77,0.07,1
7,5,429156.0,421400.0,5190.29,411227.03,431572.97,0.05,0.06,0.87,0.79,0.06,1
8,5,429156.0,428600.0,4916.37,418963.91,438236.09,0.06,0.07,0.85,0.75,0.07,1
9,5,429156.0,429800.0,4632.45,420720.38,438879.62,0.07,0.07,0.87,0.77,0.07,1
0,6,163131.0,164600.0,4952.52,154893.06,174306.94,0.08,0.08,0.81,0.68,0.08,1
1,6,163131.0,164000.0,4719.89,154749.02,173250.98,0.07,0.07,0.77,0.64,0.07,1
2,6,163131.0,161200.0,4815.45,151761.72,170638.28,0.03,0.06,0.74,0.66,0.06,1
3,6,163131.0,159400.0,5070.72,149461.38,169338.62,0.06,0.07,0.75,0.66,0.07,1
4,6,163131.0,162800.0,5032.09,152937.11,172662.89,0.06,0.06,0.79,0.69,0.06,1
5,6,163131.0,165000.0,4556.27,156069.72,173930.28,0.06,0.07,0.82,0.7,0.07,1
6,6,163131.0,164000.0,5184.22,153838.94,174161.06,0.07,0.07,0.78,0.69,0.07,1
7,6,163131.0,163200.0,5151.21,153103.62,173296.38,0.05,0.06,0.76,0.67,0.06,1
8,6,163131.0,164800.0,4961.27,155075.91,174524.09,0.05,0.06,0.73,0.65,0.06,1
9,6,163131.0,156000.0,4721.22,146746.41,165253.59,0.06,0.06,0.71,0.63,0.06,1
0,7,107671.0,110200.0,4047.08,102267.71,118132.29,0.07,0.07,0.71,0.61,0.07,1
1,7,107671.0,112800.0,4413.34,104149.85,121450.15,0.05,0.07,0.75,0.62,0.07,1
2,7,107671.0,112600.0,4448.84,103880.27,121319.73,0.07,0.07,0.72,0.62,0.07,1
3,7,107671.0,114200.0,4422.02,105532.84,122867.16,0.06,0.06,0.71,0.63,0.06,1
4,7,107671.0,111000.0,4480.08,102219.05,119780.95,0.05,0.06,0.71,0.62,0.06,1
5,7,107671.0,104600.0,4115.39,96533.83,112666.17,0.06,0.07,0.71,0.61,0.07,1
6,7,107671.0,113000.0,4151.39,104863.28,121136.72,0.07,0.07,0.74,0.65,0.07,1
7,7,107671.0,107800.0,4022.15,99916.59,115683.41,0.06,0.06,0.71,0.63,0.06,1
8,7,107671.0,100800.0,4340.77,92292.1,109307.9,0.07,0.07,0.71,0.62,0.07,1
9,7,107671.0,106000.0,4122.08,97920.72,114079.28,0.06,0.06,0.7,0.62,0.06,1
0,8,109024.0,114200.0,4269.46,105831.86,122568.14,0.07,0.07,0.8,0.71,0.07,1
1,8,109024.0,105000.0,4064.13,97034.31,112965.69,0.06,0.07,0.87,0.74,0.07,1
2,8,109024.0,115600.0,4393.03,106989.66,124210.34,0.05,0.06,0.76,0.67,0.06,1
3,8,109024.0,106600.0,4389.41,97996.75,115203.25,0.05,0.06,0.79,0.71,0.06,1
4,8,109024.0,110200.0,3974.28,102410.41,117989.59,0.06,0.06,0.79,0.71,0.06,1
5,8,109024.0,117400.0,4759.33,108071.7,126728.3,0.07,0.07,0.81,0.72,0.07,1
6,8,109024.0,107800.0,3938.09,100081.34,115518.66,0.05,0.07,0.78,0.69,0.07,1
7,8,109024.0,111600.0,4162.95,103440.62,119759.38,0.07,0.07,0.8,0.7,0.07,1
8,8,109024.0,110200.0,4108.43,102147.48,118252.52,0.06,0.07,0.78,0.69,0.07,1
9,8,109024.0,117600.0,4400.85,108974.33,126225.67,0.06,0.06,0.78,0.69,0.06,1
0,9,126798.0,123800.0,4816.02,114360.59,133239.41,0.06,0.06,0.81,0.7,0.06,1
1,9,126798.0,125000.0,4292.44,116586.82,133413.19,0.06,0.06,0.77,0.68,0.06,1
2,9,126798.0,119200.0,4553.68,110274.79,128125.21,0.07,0.07,0.79,0.7,0.07,1
3,9,126798.0,126200.0,4594.36,117195.06,135204.94,0.06,0.06,0.76,0.68,0.06,1
4,9,126798.0,123000.0,4687.24,113813.0,132187.0,0.07,0.07,0.77,0.68,0.07,1
5,9,126798.0,131800.0,4817.72,122357.27,141242.73,0.07,0.07,0.76,0.67,0.07,1
6,9,126798.0,125600.0,4441.34,116894.97,134305.03,0.05,0.06,0.76,0.68,0.06,1
7,9,126798.0,125400.0,4284.52,117002.34,133797.66,0.07,0.07,0.79,0.7,0.07,1
8,9,126798.0,122800.0,4388.05,114199.43,131400.56,0.05,0.06,0.78,0.69,0.06,1
9,9,126798.0,125400.0,4490.41,116598.8,134201.2,0.06,0.06,0.78,0.69,0.06,1
0,10,149859.0,154800.0,4607.44,145769.42,163830.58,0.05,0.06,0.68,0.56,0.06,1
1,10,149859.0,150000.0,4407.3,141361.69,158638.31,0.05,0.06,0.68,0.57,0.06,1
2,10,149859.0,142800.0,4591.05,133801.55,151798.45,0.06,0.06,0.61,0.53,0.06,1
3,10,149859.0,148800.0,5101.54,138800.98,158799.02,0.06,0.06,0.64,0.56,0.06,1
4,10,149859.0,157000.0,5035.17,147131.08,166868.92,0.06,0.06,0.64,0.56,0.06,1
5,10,149859.0,143600.0,4529.47,134722.23,152477.77,0.08,0.08,0.65,0.55,0.08,1
6,10,149859.0,144200.0,4686.42,135014.62,153385.38,0.06,0.06,0.66,0.58,0.06,1
7,10,149859.0,159000.0,5182.07,148843.14,169156.86,0.06,0.07,0.67,0.58,0.07,1
8,10,149859.0,151600.0,4886.5,142022.47,161177.53,0.07,0.07,0.66,0.57,0.07,1
9,10,149859.0,147200.0,4733.6,137922.14,156477.86,0.06,0.06,0.66,0.57,0.06,1
