Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,227014.0,218600.0,3711.43,211325.61,225874.39,0.14,0.14,0.81,0.61,0.14,0
1,1,227014.0,227700.0,3964.28,219930.02,235469.98,0.14,0.14,0.8,0.61,0.14,1
2,1,227014.0,230800.0,3764.58,223421.42,238178.58,0.14,0.14,0.79,0.63,0.14,1
3,1,227014.0,230500.0,3770.64,223109.55,237890.45,0.13,0.14,0.79,0.62,0.14,1
4,1,227014.0,228700.0,3659.49,221527.39,235872.61,0.14,0.14,0.78,0.62,0.14,1
5,1,227014.0,230400.0,3780.51,222990.2,237809.8,0.13,0.14,0.78,0.62,0.14,1
6,1,227014.0,223900.0,3528.76,216983.62,230816.38,0.12,0.15,0.78,0.6,0.15,1
7,1,227014.0,224200.0,4019.6,216321.59,232078.41,0.14,0.14,0.82,0.62,0.14,1
8,1,227014.0,221800.0,3848.15,214257.62,229342.38,0.13,0.14,0.81,0.61,0.14,1
9,1,227014.0,223100.0,4137.56,214990.38,231209.62,0.12,0.13,0.77,0.62,0.13,1
0,2,278356.0,276700.0,4406.79,268062.69,285337.31,0.12,0.14,0.79,0.6,0.14,1
1,2,278356.0,276500.0,3873.58,268907.78,284092.22,0.13,0.15,0.74,0.53,0.15,1
2,2,278356.0,284300.0,3691.8,277064.06,291535.94,0.13,0.13,0.72,0.56,0.13,1
3,2,278356.0,284200.0,4035.58,276290.25,292109.75,0.14,0.14,0.7,0.53,0.14,1
4,2,278356.0,283700.0,4180.73,275505.78,291894.22,0.12,0.14,0.72,0.55,0.14,1
5,2,278356.0,284100.0,4045.07,276171.66,292028.34,0.14,0.14,0.75,0.59,0.14,1
6,2,278356.0,275700.0,3724.71,268399.56,283000.44,0.13,0.14,0.73,0.56,0.14,1
7,2,278356.0,278700.0,4215.86,270436.91,286963.09,0.14,0.14,0.73,0.57,0.14,1
8,2,278356.0,277600.0,3871.35,270012.16,285187.84,0.14,0.14,0.75,0.59,0.14,1
9,2,278356.0,278300.0,3676.08,271094.91,285505.09,0.14,0.14,0.73,0.56,0.14,1
0,3,192924.0,191900.0,3586.9,184869.67,198930.33,0.13,0.13,0.77,0.59,0.13,1
1,3,192924.0,194900.0,3621.04,187802.77,201997.23,0.14,0.14,0.81,0.61,0.14,1
2,3,192924.0,200200.0,3743.77,192862.2,207537.8,0.12,0.14,0.73,0.56,0.14,1
3,3,192924.0,192700.0,3582.23,185678.83,199721.17,0.14,0.14,0.73,0.57,0.14,1
4,3,192924.0,197500.0,3997.27,189665.36,205334.64,0.14,0.14,0.76,0.59,0.14,1
5,3,192924.0,189800.0,3740.26,182469.09,197130.91,0.13,0.14,0.73,0.57,0.14,1
6,3,192924.0,195100.0,3499.76,188240.47,201959.53,0.14,0.14,0.75,0.55,0.14,1
7,3,192924.0,193900.0,3595.47,186852.88,200947.12,0.12,0.13,0.76,0.57,0.13,1
