Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,FA_time,Total_Time,Sampling Time,Bootstrap Time,Hit
0,1,2280109.0,2291300.0,11744.0,2268281.75,2314318.25,15.06,15.72,21.14,5.09,15.72,1
1,1,2280109.0,2267600.0,11918.51,2244239.75,2290960.25,15.03,15.72,21.34,5.35,15.72,1
2,1,2280109.0,2294400.0,11767.55,2271335.5,2317464.5,15.0,15.7,21.01,5.04,15.7,1
3,1,2280109.0,2287000.0,12089.68,2263304.25,2310695.75,15.05,15.71,21.06,5.07,15.71,1
4,1,2280109.0,2267200.0,11691.06,2244285.5,2290114.5,14.98,15.7,20.92,4.94,15.7,1
5,1,2280109.0,2273800.0,11916.04,2250444.5,2297155.5,15.0,15.72,20.96,4.97,15.72,1
6,1,2280109.0,2281200.0,12115.68,2257453.25,2304946.75,15.0,15.68,21.09,5.13,15.68,1
7,1,2280109.0,2292200.0,11838.29,2268997.0,2315403.0,14.93,15.69,20.92,4.96,15.69,1
8,1,2280109.0,2281000.0,11743.61,2257982.5,2304017.5,14.96,15.67,21.17,5.12,15.67,1
9,1,2280109.0,2264100.0,11751.44,2241067.25,2287132.75,15.04,15.69,21.04,5.08,15.69,1
0,2,2785246.0,2778000.0,12218.53,2754051.75,2801948.25,15.04,15.7,20.68,4.62,15.7,1
1,2,2785246.0,2776600.0,12332.83,2752427.75,2800772.25,14.98,15.71,20.62,4.54,15.71,1
2,2,2785246.0,2790500.0,12363.17,2766268.25,2814731.75,15.0,15.71,20.57,4.59,15.71,1
3,2,2785246.0,2764200.0,12655.26,2739395.75,2789004.25,15.04,15.71,20.69,4.71,15.71,1
4,2,2785246.0,2770200.0,12327.51,2746038.0,2794362.0,15.03,15.7,20.56,4.59,15.7,1
5,2,2785246.0,2777300.0,12174.48,2753438.0,2801162.0,15.02,15.73,20.69,4.69,15.73,1
6,2,2785246.0,2762600.0,12490.3,2738119.0,2787081.0,15.11,15.79,20.65,4.59,15.79,1
7,2,2785246.0,2784800.0,12433.74,2760429.75,2809170.25,14.96,15.71,20.48,4.49,15.71,1
8,2,2785246.0,2788800.0,11984.09,2765311.25,2812288.75,14.93,15.69,20.69,4.72,15.69,1
9,2,2785246.0,2776500.0,12213.68,2752561.25,2800438.75,15.18,15.76,20.76,4.72,15.76,1
0,3,1928020.0,1918100.0,11080.37,1896382.5,1939817.5,15.0,15.66,20.45,4.52,15.66,1
1,3,1928020.0,1928900.0,11604.56,1906155.0,1951645.0,14.96,15.64,20.67,4.76,15.64,1
2,3,1928020.0,1912800.0,11393.95,1890467.88,1935132.12,14.94,15.65,20.46,4.53,15.65,1
3,3,1928020.0,1917000.0,11691.55,1894084.62,1939915.38,15.02,15.65,20.54,4.62,15.65,1
4,3,1928020.0,1917200.0,11640.33,1894385.0,1940015.0,15.01,15.65,20.48,4.55,15.65,1
5,3,1928020.0,1917200.0,11520.69,1894619.5,1939780.5,14.94,15.63,20.42,4.52,15.63,1
6,3,1928020.0,1916900.0,11625.18,1894114.62,1939685.38,15.03,15.67,20.55,4.61,15.67,1
7,3,1928020.0,1935100.0,11371.56,1912811.75,1957388.25,15.02,15.65,20.51,4.59,15.65,1
8,3,1928020.0,1949800.0,11428.9,1927399.38,1972200.62,15.04,15.64,20.45,4.54,15.64,1
9,3,1928020.0,1914300.0,11367.29,1892020.12,1936579.88,14.99,15.65,20.55,4.62,15.65,1
0,4,2180873.0,2171000.0,11783.08,2147905.25,2194094.75,14.96,15.68,21.86,5.91,15.68,1
1,4,2180873.0,2176700.0,11690.21,2153787.25,2199612.75,15.01,15.68,21.96,5.91,15.68,1
2,4,2180873.0,2181500.0,11553.69,2158854.75,2204145.25,15.05,15.69,21.83,5.87,15.69,1
3,4,2180873.0,2177400.0,11879.24,2154116.75,2200683.25,14.94,15.67,21.97,6.03,15.67,1
